Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
World,1267631.0,66178.0,69304.0,4617.0,261134.0,937193.0,45532.0,163.0,8.9,0.0,0.0
USA,333227.0,21870.0,9540.0,1089.0,17177.0,306510.0,8623.0,1007.0,29.0,1753400.0,5297.0
Spain,131646.0,5478.0,12641.0,694.0,38080.0,80925.0,6861.0,2816.0,270.0,355000.0,7593.0
Italy,128948.0,4316.0,15887.0,525.0,21815.0,91246.0,3977.0,2133.0,263.0,691461.0,11436.0
Germany,100024.0,3932.0,1576.0,132.0,28700.0,69748.0,3936.0,1194.0,19.0,918460.0,10962.0
France,92839.0,2886.0,8078.0,518.0,16183.0,68578.0,6838.0,1422.0,124.0,224254.0,3436.0
Iran,58226.0,2483.0,3603.0,151.0,19736.0,34887.0,4103.0,693.0,43.0,186000.0,2214.0
UK,47806.0,5903.0,4934.0,621.0,135.0,42737.0,1559.0,704.0,73.0,195524.0,2880.0
Turkey,27069.0,3135.0,574.0,73.0,1042.0,25453.0,1381.0,321.0,7.0,181445.0,2151.0
Switzerland,21100.0,595.0,715.0,49.0,6415.0,13970.0,391.0,2438.0,83.0,158000.0,18256.0
Belgium,19691.0,1260.0,1447.0,164.0,3751.0,14493.0,1261.0,1699.0,125.0,70000.0,6040.0
Netherlands,17851.0,1224.0,1766.0,115.0,250.0,15835.0,1385.0,1042.0,103.0,75415.0,4401.0
Canada,15425.0,1513.0,277.0,46.0,2847.0,12301.0,426.0,409.0,7.0,317972.0,8425.0
Austria,12051.0,270.0,204.0,18.0,2998.0,8849.0,244.0,1338.0,23.0,108416.0,12038.0
Portugal,11278.0,754.0,295.0,29.0,75.0,10908.0,267.0,1106.0,29.0,86370.0,8470.0
Brazil,11130.0,770.0,486.0,41.0,127.0,10517.0,296.0,52.0,2.0,54824.0,258.0
S. Korea,10237.0,81.0,183.0,6.0,6463.0,3591.0,55.0,200.0,4.0,461233.0,8996.0
Israel,8430.0,579.0,49.0,5.0,477.0,7904.0,139.0,974.0,6.0,90394.0,10443.0
Sweden,6830.0,387.0,401.0,28.0,205.0,6224.0,541.0,676.0,40.0,36900.0,3654.0
Norway,5687.0,137.0,71.0,9.0,32.0,5584.0,89.0,1049.0,13.0,105865.0,19528.0
Australia,5687.0,137.0,35.0,5.0,2315.0,3337.0,91.0,223.0,1.0,297154.0,11653.0
Russia,5389.0,658.0,45.0,2.0,355.0,4989.0,8.0,37.0,0.3,697000.0,4776.0
Ireland,4994.0,390.0,158.0,21.0,25.0,4811.0,165.0,1011.0,32.0,30213.0,6119.0
Czechia,4543.0,71.0,67.0,8.0,96.0,4380.0,86.0,424.0,6.0,80304.0,7499.0
Chile,4471.0,310.0,34.0,7.0,618.0,3819.0,307.0,234.0,2.0,51956.0,2718.0
Denmark,4369.0,292.0,179.0,18.0,1327.0,2863.0,142.0,754.0,31.0,49249.0,8503.0
Poland,4102.0,475.0,94.0,15.0,134.0,3874.0,50.0,108.0,2.0,80757.0,2134.0
Romania,3864.0,251.0,151.0,5.0,374.0,3339.0,141.0,201.0,8.0,38623.0,2008.0
Malaysia,3662.0,179.0,61.0,4.0,1005.0,2596.0,99.0,113.0,2.0,51937.0,1605.0
Ecuador,3646.0,181.0,180.0,8.0,100.0,3366.0,100.0,207.0,10.0,12386.0,702.0
India,3588.0,0.0,99.0,0.0,229.0,3260.0,0.0,3.0,0.07,128320.0,93.0
Philippines,3246.0,152.0,152.0,8.0,64.0,3030.0,1.0,30.0,1.0,19585.0,179.0
Pakistan,3157.0,339.0,47.0,6.0,211.0,2899.0,18.0,14.0,0.2,34885.0,158.0
Japan,3139.0,0.0,77.0,0.0,514.0,2548.0,64.0,25.0,0.6,44639.0,353.0
Luxembourg,2804.0,75.0,36.0,5.0,500.0,2268.0,33.0,4479.0,58.0,23687.0,37840.0
Saudi Arabia,2402.0,223.0,34.0,5.0,488.0,1880.0,41.0,69.0,1.0,0.0,0.0
Peru,2281.0,535.0,83.0,10.0,989.0,1209.0,81.0,69.0,3.0,19410.0,589.0
Indonesia,2273.0,181.0,198.0,7.0,164.0,1911.0,0.0,8.0,0.7,9712.0,36.0
Thailand,2169.0,102.0,23.0,3.0,793.0,1353.0,23.0,31.0,0.3,25071.0,359.0
Finland,1927.0,45.0,28.0,3.0,300.0,1599.0,73.0,348.0,5.0,31714.0,5724.0
Serbia,1908.0,284.0,51.0,7.0,54.0,1803.0,98.0,218.0,6.0,7360.0,842.0
Mexico,1890.0,202.0,79.0,19.0,633.0,1178.0,1.0,15.0,0.6,15668.0,122.0
Panama,1801.0,0.0,46.0,0.0,13.0,1742.0,75.0,417.0,11.0,9256.0,2145.0
UAE,1799.0,294.0,10.0,0.0,144.0,1645.0,1.0,182.0,1.0,220000.0,22244.0
Dominican Republic,1745.0,167.0,82.0,5.0,17.0,1646.0,147.0,161.0,8.0,4542.0,419.0
Greece,1735.0,62.0,73.0,5.0,78.0,1584.0,93.0,166.0,7.0,25453.0,2442.0
South Africa,1655.0,70.0,11.0,2.0,95.0,1549.0,7.0,28.0,0.2,56873.0,959.0
Qatar,1604.0,279.0,4.0,1.0,123.0,1477.0,37.0,557.0,1.0,35757.0,12411.0
Iceland,1486.0,69.0,4.0,0.0,428.0,1054.0,11.0,4355.0,12.0,25394.0,74416.0
Colombia,1485.0,79.0,35.0,3.0,88.0,1362.0,50.0,29.0,0.7,23706.0,466.0
Argentina,1451.0,0.0,44.0,1.0,280.0,1127.0,86.0,32.0,1.0,8488.0,188.0
Algeria,1320.0,69.0,152.0,22.0,90.0,1078.0,46.0,30.0,3.0,3359.0,77.0
