Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
Asia,345970.0,12773.0,12426.0,358.0,165739.0,167805.0,6477.0,0.0,0.0,0.0,0.0
North America,724560.0,32002.0,36709.0,2418.0,70319.0,617532.0,14460.0,0.0,0.0,0.0,0.0
Europe,996540.0,40002.0,92224.0,3905.0,275293.0,629023.0,27806.0,0.0,0.0,0.0,0.0
South America,67591.0,4289.0,3057.0,260.0,25971.0,38563.0,7601.0,0.0,0.0,0.0,0.0
Oceania,7966.0,42.0,72.0,0.0,4518.0,3376.0,71.0,0.0,0.0,0.0,0.0
Africa,18993.0,1166.0,968.0,55.0,4585.0,13440.0,180.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,644.0,62.0,7.0,0.0,0.0,0.0,0.0
World,2162341.0,90274.0,145471.0,6996.0,547069.0,1469801.0,56602.0,277.0,18.7,0.0,0.0
China,82341.0,46.0,3342.0,0.0,77892.0,1107.0,95.0,57.0,2.0,0.0,0.0
USA,677570.0,29567.0,34617.0,2174.0,57508.0,585445.0,13369.0,2047.0,105.0,3398140.0,10266.0
Spain,184948.0,4289.0,19315.0,503.0,74797.0,90836.0,7371.0,3956.0,413.0,930230.0,19896.0
Italy,168941.0,3786.0,22170.0,525.0,40164.0,106607.0,2936.0,2794.0,367.0,1178403.0,19490.0
France,146060.0,12416.0,17920.0,753.0,32812.0,95328.0,6248.0,2238.0,275.0,333807.0,5114.0
Germany,137698.0,2945.0,4052.0,248.0,77000.0,56646.0,4288.0,1643.0,48.0,1728357.0,20629.0
UK,103093.0,4617.0,13729.0,861.0,0.0,89020.0,1559.0,1519.0,202.0,417649.0,6152.0
Iran,77995.0,1606.0,4869.0,92.0,52229.0,20897.0,3594.0,929.0,58.0,310340.0,3695.0
Turkey,74193.0,4801.0,1643.0,125.0,7089.0,65461.0,1854.0,880.0,19.0,518143.0,6144.0
Belgium,34809.0,1236.0,4857.0,417.0,7562.0,22390.0,1182.0,3003.0,419.0,134303.0,11588.0
Brazil,30683.0,2073.0,1947.0,190.0,14026.0,14710.0,6634.0,144.0,9.0,62985.0,296.0
Canada,30106.0,1727.0,1195.0,185.0,9729.0,19182.0,557.0,798.0,32.0,487625.0,12920.0
Netherlands,29214.0,1061.0,3315.0,181.0,250.0,25649.0,1279.0,1705.0,193.0,147948.0,8634.0
Russia,27938.0,3448.0,232.0,34.0,2304.0,25402.0,8.0,191.0,2.0,1613413.0,11056.0
Switzerland,26732.0,396.0,1281.0,42.0,15900.0,9551.0,386.0,3089.0,148.0,206400.0,23849.0
Portugal,18841.0,750.0,629.0,30.0,493.0,17719.0,229.0,1848.0,62.0,208314.0,20430.0
Austria,14476.0,126.0,410.0,17.0,8986.0,5080.0,238.0,1607.0,46.0,162816.0,18078.0
India,13430.0,1060.0,448.0,26.0,1768.0,11214.0,0.0,10.0,0.3,302956.0,220.0
Ireland,13271.0,724.0,486.0,42.0,77.0,12708.0,156.0,2688.0,98.0,90646.0,18358.0
Israel,12758.0,257.0,142.0,12.0,2818.0,9798.0,181.0,1474.0,16.0,187250.0,21634.0
Sweden,12540.0,613.0,1333.0,130.0,550.0,10657.0,522.0,1242.0,132.0,74600.0,7387.0
Peru,12491.0,1016.0,274.0,20.0,6120.0,6097.0,169.0,379.0,8.0,121468.0,3684.0
S. Korea,10613.0,22.0,229.0,4.0,7757.0,2627.0,55.0,207.0,4.0,538775.0,10509.0
Japan,9231.0,605.0,190.0,12.0,935.0,8106.0,193.0,73.0,2.0,100703.0,796.0
Chile,8807.0,534.0,105.0,11.0,3299.0,5403.0,384.0,461.0,5.0,98424.0,5149.0
Ecuador,8225.0,367.0,403.0,15.0,838.0,6984.0,168.0,466.0,23.0,27868.0,1580.0
Poland,7918.0,336.0,314.0,28.0,774.0,6830.0,160.0,209.0,8.0,169071.0,4467.0
Romania,7707.0,491.0,392.0,20.0,1357.0,5958.0,243.0,401.0,20.0,79629.0,4139.0
Pakistan,6919.0,536.0,128.0,17.0,1645.0,5146.0,46.0,31.0,0.6,78979.0,358.0
Norway,6905.0,108.0,152.0,2.0,32.0,6721.0,64.0,1274.0,28.0,133707.0,24664.0
Denmark,6879.0,198.0,321.0,12.0,3023.0,3535.0,92.0,1188.0,55.0,82380.0,14223.0
Australia,6468.0,21.0,63.0,0.0,3747.0,2658.0,66.0,254.0,2.0,380003.0,14902.0
Czechia,6433.0,132.0,169.0,3.0,972.0,5292.0,75.0,601.0,16.0,146004.0,13634.0
Saudi Arabia,6380.0,518.0,83.0,4.0,990.0,5307.0,71.0,183.0,2.0,150000.0,4309.0
Mexico,5847.0,448.0,449.0,43.0,2125.0,3273.0,207.0,45.0,3.0,40091.0,311.0
UAE,5825.0,460.0,35.0,2.0,1095.0,4695.0,1.0,589.0,4.0,767000.0,77550.0
Philippines,5660.0,207.0,362.0,13.0,435.0,4863.0,1.0,52.0,3.0,48171.0,440.0
Indonesia,5516.0,380.0,496.0,27.0,548.0,4472.0,0.0,20.0,2.0,36000.0,132.0
Serbia,5318.0,445.0,103.0,4.0,443.0,4772.0,120.0,609.0,12.0,29472.0,3373.0
Malaysia,5182.0,110.0,84.0,1.0,2766.0,2332.0,56.0,160.0,3.0,87183.0,2694.0
Singapore,4427.0,728.0,10.0,0.0,683.0,3734.0,29.0,757.0,2.0,72680.0,12423.0
Belarus,4204.0,476.0,40.0,4.0,203.0,3961.0,65.0,445.0,4.0,81246.0,8598.0
Ukraine,4161.0,397.0,116.0,8.0,186.0,3859.0,45.0,95.0,3.0,42823.0,979.0
Qatar,4103.0,392.0,7.0,0.0,415.0,3681.0,37.0,1424.0,2.0,56381.0,19570.0
Dominican Republic,3755.0,141.0,196.0,7.0,215.0,3344.0,121.0,346.0,18.0,12229.0,1127.0
Panama,3751.0,0.0,103.0,0.0,75.0,3573.0,106.0,869.0,24.0,16854.0,3906.0
Luxembourg,3444.0,71.0,69.0,0.0,552.0,2823.0,35.0,5502.0,110.0,31660.0,50577.0
Finland,3369.0,132.0,75.0,3.0,1700.0,1594.0,76.0,608.0,14.0,49700.0,8970.0
Colombia,3233.0,128.0,144.0,13.0,550.0,2539.0,98.0,64.0,3.0,52085.0,1024.0
Egypt,2673.0,168.0,196.0,13.0,596.0,1881.0,0.0,26.0,2.0,25000.0,244.0
