Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,274178.0,29301.0,7053.0,983.0,12044.0,255081.0,5787.0,828.0,21.0
Italy,119827.0,4585.0,14681.0,766.0,19758.0,85388.0,4068.0,1982.0,243.0
Spain,119199.0,7134.0,11198.0,850.0,30513.0,77488.0,6416.0,2549.0,240.0
Germany,91159.0,6365.0,1275.0,168.0,24575.0,65309.0,3936.0,1088.0,15.0
France,64338.0,5233.0,6507.0,1120.0,14008.0,43823.0,6662.0,986.0,100.0
Iran,53183.0,2715.0,3294.0,134.0,17935.0,31954.0,4035.0,633.0,39.0
UK,38168.0,4450.0,3605.0,684.0,135.0,34428.0,163.0,562.0,53.0
Turkey,20921.0,2786.0,425.0,69.0,484.0,20012.0,1251.0,248.0,5.0
Switzerland,19606.0,779.0,591.0,55.0,4846.0,14169.0,348.0,2265.0,68.0
Belgium,16770.0,1422.0,1143.0,132.0,2872.0,12755.0,1205.0,1447.0,99.0
Netherlands,15723.0,1026.0,1487.0,148.0,250.0,13986.0,1324.0,918.0,87.0
Canada,12375.0,1092.0,208.0,35.0,2186.0,9981.0,120.0,328.0,6.0
Austria,11524.0,395.0,168.0,10.0,2022.0,9334.0,245.0,1280.0,19.0
S. Korea,10062.0,86.0,174.0,5.0,6021.0,3867.0,55.0,196.0,3.0
Portugal,9886.0,852.0,246.0,37.0,68.0,9572.0,245.0,970.0,24.0
Brazil,9056.0,1012.0,359.0,35.0,127.0,8570.0,296.0,43.0,2.0
Israel,7428.0,571.0,40.0,4.0,403.0,6985.0,113.0,858.0,5.0
Sweden,6131.0,563.0,358.0,50.0,205.0,5568.0,469.0,607.0,35.0
Norway,5370.0,223.0,59.0,9.0,32.0,5279.0,96.0,991.0,11.0
Australia,5350.0,36.0,28.0,3.0,585.0,4737.0,85.0,210.0,1.0
Ireland,4273.0,424.0,120.0,22.0,5.0,4148.0,109.0,865.0,24.0
Russia,4149.0,601.0,34.0,4.0,281.0,3834.0,8.0,28.0,0.2
Czechia,4091.0,233.0,53.0,9.0,72.0,3966.0,77.0,382.0,5.0
Denmark,3757.0,371.0,139.0,16.0,1193.0,2425.0,153.0,649.0,24.0
Chile,3737.0,333.0,22.0,4.0,427.0,3288.0,31.0,195.0,1.0
Poland,3383.0,437.0,71.0,14.0,56.0,3256.0,50.0,89.0,2.0
Ecuador,3368.0,205.0,145.0,25.0,65.0,3158.0,100.0,191.0,8.0
Malaysia,3333.0,217.0,53.0,3.0,827.0,2453.0,108.0,103.0,2.0
Romania,3183.0,445.0,133.0,18.0,283.0,2767.0,83.0,165.0,7.0
Philippines,3018.0,385.0,136.0,29.0,52.0,2830.0,1.0,28.0,1.0
Pakistan,2686.0,265.0,40.0,6.0,126.0,2520.0,10.0,12.0,0.2
Japan,2617.0,0.0,63.0,0.0,514.0,2040.0,60.0,21.0,0.5
Luxembourg,2612.0,125.0,31.0,1.0,500.0,2081.0,33.0,4173.0,50.0
India,2567.0,24.0,72.0,0.0,192.0,2303.0,0.0,2.0,0.05
Saudi Arabia,2039.0,154.0,25.0,4.0,351.0,1663.0,41.0,59.0,0.7
Indonesia,1986.0,196.0,181.0,11.0,134.0,1671.0,0.0,7.0,0.7
Thailand,1978.0,103.0,19.0,4.0,612.0,1347.0,23.0,28.0,0.3
Finland,1615.0,97.0,20.0,1.0,300.0,1295.0,72.0,291.0,4.0
Greece,1613.0,69.0,63.0,10.0,78.0,1472.0,92.0,155.0,6.0
Peru,1595.0,181.0,61.0,6.0,537.0,997.0,51.0,48.0,2.0
Mexico,1510.0,132.0,50.0,13.0,633.0,827.0,1.0,12.0,0.4
South Africa,1505.0,43.0,9.0,4.0,95.0,1401.0,7.0,25.0,0.2
Dominican Republic,1488.0,108.0,68.0,8.0,16.0,1404.0,147.0,137.0,6.0
Serbia,1476.0,305.0,39.0,8.0,54.0,1383.0,81.0,169.0,4.0
Panama,1475.0,0.0,37.0,0.0,10.0,1428.0,50.0,342.0,9.0
Iceland,1364.0,45.0,4.0,0.0,309.0,1051.0,12.0,3997.0,12.0
Colombia,1267.0,106.0,25.0,6.0,55.0,1187.0,50.0,25.0,0.5
Argentina,1265.0,0.0,39.0,3.0,266.0,960.0,0.0,28.0,0.9
