Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,211189.0,22659.0,4714.0,661.0,8805.0,197670.0,5005.0,638.0,14.0
Italy,110574.0,4782.0,13155.0,727.0,16847.0,80572.0,4035.0,1829.0,218.0
Spain,102179.0,6256.0,9131.0,667.0,22647.0,70401.0,5872.0,2185.0,195.0
Germany,77817.0,6009.0,917.0,142.0,18700.0,58200.0,3408.0,929.0,11.0
France,56989.0,4861.0,4032.0,509.0,10934.0,42023.0,5565.0,873.0,62.0
Iran,47593.0,2988.0,3036.0,138.0,15473.0,29084.0,3871.0,567.0,36.0
UK,29474.0,4324.0,2352.0,563.0,135.0,26987.0,163.0,434.0,35.0
Switzerland,17768.0,1163.0,488.0,55.0,2967.0,14313.0,348.0,2053.0,56.0
Turkey,15679.0,2148.0,277.0,63.0,333.0,15069.0,847.0,186.0,3.0
Belgium,13964.0,1189.0,828.0,123.0,2132.0,11004.0,1088.0,1205.0,71.0
Netherlands,13614.0,1019.0,1173.0,134.0,250.0,12191.0,1053.0,795.0,68.0
Austria,10668.0,488.0,146.0,18.0,1436.0,9086.0,215.0,1184.0,16.0
S. Korea,9887.0,101.0,165.0,3.0,5567.0,4155.0,55.0,193.0,3.0
Canada,9560.0,948.0,112.0,11.0,1603.0,7845.0,120.0,253.0,3.0
Portugal,8251.0,808.0,187.0,27.0,43.0,8021.0,230.0,809.0,18.0
Brazil,6836.0,1119.0,240.0,39.0,127.0,6469.0,296.0,32.0,1.0
Israel,6092.0,734.0,26.0,6.0,226.0,5840.0,97.0,704.0,3.0
Sweden,4947.0,512.0,239.0,59.0,16.0,4692.0,393.0,490.0,24.0
Australia,4864.0,101.0,21.0,1.0,345.0,4498.0,50.0,191.0,0.8
Norway,4863.0,222.0,44.0,5.0,13.0,4806.0,105.0,897.0,8.0
Czechia,3508.0,200.0,39.0,8.0,61.0,3408.0,70.0,328.0,4.0
Ireland,3447.0,212.0,85.0,14.0,5.0,3357.0,103.0,698.0,17.0
Denmark,3107.0,247.0,104.0,14.0,894.0,2109.0,145.0,536.0,18.0
Chile,3031.0,293.0,16.0,4.0,234.0,2781.0,31.0,159.0,0.8
Malaysia,2908.0,142.0,45.0,2.0,645.0,2218.0,102.0,90.0,1.0
Russia,2777.0,440.0,24.0,7.0,190.0,2563.0,8.0,19.0,0.2
Ecuador,2748.0,446.0,93.0,14.0,58.0,2597.0,100.0,156.0,5.0
Poland,2554.0,243.0,43.0,10.0,47.0,2464.0,50.0,67.0,1.0
Romania,2460.0,215.0,92.0,10.0,252.0,2116.0,57.0,128.0,5.0
Luxembourg,2319.0,141.0,29.0,6.0,80.0,2210.0,31.0,3705.0,46.0
Philippines,2311.0,227.0,96.0,8.0,50.0,2165.0,1.0,21.0,0.9
Japan,2178.0,0.0,57.0,0.0,472.0,1649.0,69.0,17.0,0.5
Pakistan,2118.0,180.0,27.0,1.0,94.0,1997.0,12.0,10.0,0.1
India,1998.0,601.0,58.0,23.0,148.0,1792.0,0.0,1.0,0.04
Thailand,1771.0,120.0,12.0,2.0,505.0,1254.0,23.0,25.0,0.2
Saudi Arabia,1720.0,157.0,16.0,6.0,264.0,1440.0,31.0,49.0,0.5
Indonesia,1677.0,149.0,157.0,21.0,103.0,1417.0,0.0,6.0,0.6
Finland,1446.0,28.0,17.0,0.0,10.0,1419.0,62.0,261.0,3.0
Greece,1415.0,101.0,50.0,1.0,52.0,1313.0,90.0,136.0,5.0
South Africa,1380.0,27.0,5.0,0.0,50.0,1325.0,7.0,23.0,0.08
Peru,1323.0,258.0,38.0,8.0,394.0,891.0,49.0,40.0,1.0
Dominican Republic,1284.0,175.0,57.0,6.0,9.0,1218.0,0.0,118.0,5.0
Iceland,1220.0,85.0,2.0,0.0,225.0,993.0,12.0,3575.0,6.0
Mexico,1215.0,121.0,29.0,1.0,35.0,1151.0,1.0,9.0,0.2
Panama,1181.0,0.0,30.0,0.0,9.0,1142.0,50.0,274.0,7.0
Colombia,1065.0,159.0,17.0,1.0,39.0,1009.0,47.0,21.0,0.3
Serbia,1060.0,160.0,28.0,5.0,42.0,990.0,62.0,121.0,3.0
Argentina,1054.0,0.0,28.0,1.0,248.0,778.0,0.0,23.0,0.6
Singapore,1000.0,74.0,3.0,0.0,245.0,752.0,24.0,171.0,0.5
Croatia,963.0,96.0,6.0,0.0,73.0,884.0,34.0,235.0,1.0
Algeria,847.0,131.0,58.0,14.0,61.0,728.0,0.0,19.0,1.0
Slovenia,841.0,39.0,15.0,0.0,10.0,816.0,31.0,405.0,7.0
Qatar,835.0,54.0,2.0,0.0,71.0,762.0,6.0,290.0,0.7
UAE,814.0,150.0,8.0,2.0,61.0,745.0,2.0,82.0,0.8
Ukraine,794.0,149.0,20.0,3.0,13.0,761.0,0.0,18.0,0.5
Egypt,779.0,69.0,52.0,6.0,179.0,548.0,0.0,8.0,0.5
Estonia,779.0,34.0,5.0,1.0,33.0,741.0,15.0,587.0,4.0
Hong Kong,765.0,50.0,4.0,0.0,147.0,614.0,5.0,102.0,0.5
Iraq,728.0,34.0,52.0,2.0,182.0,494.0,0.0,18.0,1.0
Diamond Princess,712.0,0.0,11.0,0.0,603.0,98.0,15.0,0.0,0.0
New Zealand,708.0,61.0,1.0,0.0,83.0,624.0,2.0,147.0,0.2
Morocco,654.0,37.0,39.0,3.0,29.0,586.0,1.0,18.0,1.0
Lithuania,581.0,44.0,8.0,0.0,7.0,566.0,11.0,213.0,3.0
Armenia,571.0,39.0,4.0,1.0,31.0,536.0,30.0,193.0,1.0
Bahrain,569.0,2.0,4.0,0.0,337.0,228.0,3.0,334.0,2.0
Hungary,525.0,33.0,20.0,4.0,40.0,465.0,17.0,54.0,2.0
Lebanon,479.0,16.0,14.0,2.0,43.0,422.0,5.0,70.0,2.0
Bosnia and Herzegovina,459.0,39.0,13.0,0.0,19.0,427.0,1.0,140.0,4.0
Latvia,446.0,48.0,0.0,0.0,1.0,445.0,3.0,236.0,0.0
Tunisia,423.0,29.0,12.0,2.0,5.0,406.0,10.0,36.0,1.0
Moldova,423.0,70.0,5.0,1.0,23.0,395.0,44.0,105.0,1.0
Bulgaria,422.0,23.0,10.0,2.0,20.0,392.0,18.0,61.0,1.0
Slovakia,400.0,37.0,1.0,1.0,3.0,396.0,1.0,73.0,0.2
Andorra,390.0,14.0,14.0,2.0,10.0,366.0,12.0,5048.0,181.0
Kazakhstan,380.0,37.0,3.0,1.0,26.0,351.0,6.0,20.0,0.2
Costa Rica,375.0,28.0,2.0,0.0,4.0,369.0,9.0,74.0,0.4
Azerbaijan,359.0,61.0,5.0,0.0,26.0,328.0,7.0,35.0,0.5
North Macedonia,354.0,25.0,11.0,2.0,17.0,326.0,4.0,170.0,5.0
Uruguay,338.0,0.0,2.0,1.0,41.0,295.0,12.0,97.0,0.6
Taiwan,329.0,7.0,5.0,0.0,45.0,279.0,0.0,14.0,0.2
Cyprus,320.0,58.0,9.0,1.0,28.0,283.0,11.0,265.0,7.0
Kuwait,317.0,28.0,0.0,0.0,80.0,237.0,14.0,74.0,0.0
Burkina Faso,282.0,21.0,16.0,2.0,46.0,220.0,0.0,13.0,0.8
Réunion,281.0,34.0,0.0,0.0,40.0,241.0,3.0,314.0,0.0
Jordan,278.0,4.0,5.0,0.0,36.0,237.0,5.0,27.0,0.5
Albania,259.0,16.0,15.0,0.0,67.0,177.0,7.0,90.0,5.0
Afghanistan,237.0,63.0,4.0,0.0,5.0,228.0,0.0,6.0,0.1
San Marino,236.0,0.0,26.0,0.0,13.0,197.0,16.0,6955.0,766.0
Cameroon,233.0,40.0,6.0,0.0,10.0,217.0,0.0,9.0,0.2
Vietnam,218.0,6.0,0.0,0.0,63.0,155.0,3.0,2.0,0.0
Cuba,212.0,26.0,6.0,0.0,12.0,194.0,3.0,19.0,0.5
Oman,210.0,18.0,1.0,0.0,34.0,175.0,3.0,41.0,0.2
Ghana,195.0,34.0,5.0,0.0,31.0,159.0,1.0,6.0,0.2
Senegal,190.0,15.0,1.0,1.0,45.0,144.0,0.0,11.0,0.06
Malta,188.0,19.0,0.0,0.0,2.0,186.0,2.0,426.0,0.0
Uzbekistan,181.0,9.0,2.0,0.0,12.0,167.0,8.0,5.0,0.06
Ivory Coast,179.0,0.0,1.0,0.0,7.0,171.0,0.0,7.0,0.04
Nigeria,174.0,39.0,2.0,0.0,9.0,163.0,0.0,0.8,0.01
Faeroe Islands,173.0,4.0,0.0,0.0,75.0,98.0,1.0,3541.0,0.0
Honduras,172.0,31.0,10.0,3.0,3.0,159.0,4.0,17.0,1.0
Channel Islands,172.0,31.0,3.0,0.0,0.0,169.0,0.0,989.0,17.0
Belarus,163.0,11.0,2.0,1.0,53.0,108.0,2.0,17.0,0.2
Mauritius,161.0,18.0,6.0,1.0,0.0,155.0,1.0,127.0,5.0
Sri Lanka,146.0,3.0,3.0,1.0,21.0,122.0,5.0,7.0,0.1
Venezuela,143.0,8.0,3.0,0.0,41.0,99.0,6.0,5.0,0.1
Martinique,135.0,7.0,3.0,0.0,27.0,105.0,16.0,360.0,8.0
Palestine,134.0,15.0,1.0,0.0,18.0,115.0,0.0,26.0,0.2
Brunei ,131.0,2.0,1.0,0.0,52.0,78.0,3.0,299.0,2.0
Guadeloupe,125.0,11.0,6.0,2.0,24.0,95.0,14.0,312.0,15.0
Montenegro,123.0,14.0,2.0,0.0,0.0,121.0,4.0,196.0,3.0
Georgia,117.0,7.0,0.0,0.0,23.0,94.0,6.0,29.0,0.0
Bolivia,115.0,8.0,7.0,1.0,1.0,107.0,3.0,10.0,0.6
