Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
World,1506361.0,75442.0,88100.0,6066.0,319292.0,1098969.0,48018.0,193.0,11.3,0.0,0.0
USA,425769.0,25434.0,14604.0,1763.0,22202.0,388963.0,9234.0,1286.0,44.0,2195627.0,6633.0
Spain,148220.0,6278.0,14792.0,747.0,48021.0,85407.0,7069.0,3170.0,316.0,355000.0,7593.0
Italy,139422.0,3836.0,17669.0,542.0,26491.0,95262.0,3693.0,2306.0,292.0,807125.0,13349.0
France,112950.0,3881.0,10869.0,541.0,21254.0,80827.0,7148.0,1730.0,167.0,224254.0,3436.0
Germany,112113.0,4450.0,2208.0,192.0,36081.0,73824.0,4895.0,1338.0,26.0,918460.0,10962.0
Iran,64586.0,1997.0,3993.0,121.0,29812.0,30781.0,3987.0,769.0,48.0,211136.0,2514.0
UK,60733.0,5491.0,7097.0,938.0,135.0,53501.0,1559.0,895.0,105.0,282074.0,4155.0
Turkey,38226.0,4117.0,812.0,87.0,1846.0,35568.0,1492.0,453.0,10.0,247768.0,2938.0
Belgium,23403.0,1209.0,2240.0,205.0,4681.0,16482.0,1276.0,2019.0,193.0,84248.0,7269.0
Switzerland,23280.0,1027.0,895.0,74.0,9800.0,12585.0,391.0,2690.0,103.0,171938.0,19867.0
Netherlands,20549.0,969.0,2248.0,147.0,250.0,18051.0,1424.0,1199.0,131.0,101534.0,5926.0
Canada,19195.0,1298.0,427.0,46.0,4548.0,14220.0,426.0,509.0,11.0,348105.0,9223.0
Brazil,15927.0,1893.0,800.0,114.0,127.0,15000.0,296.0,75.0,4.0,54824.0,258.0
Portugal,13141.0,699.0,380.0,35.0,196.0,12565.0,245.0,1289.0,37.0,128784.0,12630.0
Austria,12942.0,303.0,273.0,30.0,4512.0,8157.0,267.0,1437.0,30.0,120755.0,13408.0
S. Korea,10384.0,53.0,200.0,8.0,6776.0,3408.0,55.0,203.0,4.0,477304.0,9310.0
Israel,9404.0,156.0,73.0,8.0,801.0,8530.0,147.0,1086.0,8.0,117339.0,13557.0
Russia,8672.0,1175.0,63.0,5.0,580.0,8029.0,8.0,59.0,0.4,910221.0,6237.0
Sweden,8419.0,726.0,687.0,96.0,205.0,7527.0,678.0,834.0,68.0,54700.0,5416.0
Norway,6086.0,0.0,101.0,12.0,32.0,5953.0,78.0,1123.0,19.0,113896.0,21009.0
Ireland,6074.0,365.0,235.0,25.0,25.0,5814.0,165.0,1230.0,48.0,42484.0,8604.0
Australia,6013.0,25.0,50.0,1.0,2813.0,3150.0,87.0,236.0,2.0,319784.0,12541.0
India,5916.0,565.0,178.0,18.0,506.0,5232.0,0.0,4.0,0.1,167235.0,121.0
Chile,5546.0,430.0,48.0,5.0,1115.0,4383.0,362.0,290.0,3.0,60391.0,3159.0
Denmark,5402.0,331.0,218.0,15.0,1621.0,3563.0,127.0,933.0,38.0,64002.0,11050.0
Czechia,5221.0,204.0,99.0,11.0,233.0,4889.0,103.0,488.0,9.0,98681.0,9215.0
