Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
 China ,80844.0,20.0,3199.0,10.0,66911.0,10734.0,3226.0,56.2
 Italy ,21157.0,3497.0,1441.0,175.0,1966.0,17750.0,1518.0,349.9
 Iran ,12729.0,1365.0,611.0,97.0,4339.0,7779.0,0.0,151.5
 S. Korea ,8162.0,183.0,75.0,8.0,834.0,7253.0,59.0,159.2
 Spain ,6391.0,1159.0,196.0,63.0,517.0,5678.0,272.0,136.7
 Germany ,4599.0,924.0,9.0,1.0,46.0,4544.0,9.0,54.9
 France ,4469.0,808.0,91.0,12.0,12.0,4366.0,300.0,68.5
 USA ,2836.0,589.0,57.0,8.0,49.0,2730.0,10.0,8.6
 Switzerland ,1375.0,236.0,13.0,2.0,4.0,1358.0,0.0,158.9
 UK ,1140.0,342.0,21.0,10.0,18.0,1101.0,20.0,16.8
 Norway ,1109.0,113.0,3.0,2.0,1.0,1105.0,27.0,204.6
 Sweden ,961.0,147.0,2.0,1.0,1.0,958.0,2.0,95.2
 Netherlands ,959.0,155.0,12.0,2.0,2.0,945.0,45.0,56.0
 Denmark ,836.0,32.0,1.0,1.0,1.0,834.0,2.0,144.3
 Japan ,804.0,70.0,22.0,1.0,144.0,638.0,35.0,6.4
 Diamond Princess ,696.0,0.0,7.0,0.0,456.0,233.0,15.0,0.0
 Belgium ,689.0,130.0,4.0,1.0,1.0,684.0,24.0,59.4
 Austria ,655.0,151.0,1.0,0.0,6.0,648.0,1.0,72.7
 Qatar ,337.0,17.0,0.0,0.0,4.0,333.0,0.0,117.0
 Canada ,252.0,54.0,1.0,0.0,11.0,240.0,1.0,6.7
 Australia ,248.0,49.0,3.0,0.0,27.0,218.0,1.0,9.7
 Malaysia ,238.0,41.0,0.0,0.0,35.0,203.0,4.0,7.4
 Greece ,228.0,38.0,3.0,2.0,8.0,217.0,5.0,21.9
 Finland ,225.0,70.0,0.0,0.0,10.0,215.0,0.0,40.6
 Bahrain ,212.0,2.0,0.0,0.0,60.0,152.0,2.0,124.6
 Singapore ,212.0,12.0,0.0,0.0,105.0,107.0,11.0,36.2
 Israel ,193.0,50.0,0.0,0.0,4.0,189.0,3.0,22.3
 Czechia ,189.0,48.0,0.0,0.0,0.0,189.0,2.0,17.6
 Slovenia ,181.0,40.0,1.0,1.0,0.0,180.0,3.0,87.1
 Portugal ,169.0,57.0,0.0,0.0,2.0,167.0,10.0,16.6
 Iceland ,161.0,27.0,0.0,0.0,0.0,161.0,1.0,0.0
 Brazil ,151.0,0.0,0.0,0.0,1.0,150.0,2.0,0.7
 Hong Kong ,142.0,10.0,4.0,0.0,81.0,57.0,4.0,18.9
 Ireland ,129.0,39.0,2.0,1.0,0.0,127.0,6.0,26.1
 Romania ,123.0,28.0,0.0,0.0,9.0,114.0,1.0,6.4
 Estonia ,115.0,36.0,0.0,0.0,0.0,115.0,0.0,86.7
 Philippines ,111.0,47.0,8.0,3.0,2.0,101.0,1.0,1.0
 Iraq ,110.0,9.0,10.0,1.0,26.0,74.0,0.0,2.7
 Egypt ,109.0,16.0,2.0,0.0,27.0,80.0,0.0,1.1
 Poland ,104.0,36.0,3.0,1.0,13.0,88.0,3.0,2.7
 Kuwait ,104.0,4.0,0.0,0.0,7.0,97.0,6.0,24.4
