Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
World,1423379.0,77375.0,81848.0,7194.0,301623.0,1039908.0,47911.0,183.0,10.5,0.0,0.0
USA,394182.0,27178.0,12716.0,1845.0,21571.0,359895.0,9169.0,1191.0,38.0,2061504.0,6228.0
Spain,141942.0,5267.0,14045.0,704.0,43208.0,84689.0,7069.0,3036.0,300.0,355000.0,7593.0
Italy,135586.0,3039.0,17127.0,604.0,24392.0,94067.0,3792.0,2243.0,283.0,755445.0,12495.0
France,109069.0,11059.0,10328.0,1417.0,19337.0,79404.0,7131.0,1671.0,158.0,224254.0,3436.0
Germany,107591.0,4216.0,2012.0,202.0,36081.0,69498.0,4895.0,1284.0,24.0,918460.0,10962.0
Iran,62589.0,2089.0,3872.0,133.0,27039.0,31678.0,3987.0,745.0,46.0,211136.0,2514.0
UK,55242.0,3634.0,6159.0,786.0,135.0,48948.0,1559.0,814.0,91.0,266694.0,3929.0
Turkey,34109.0,3892.0,725.0,76.0,1582.0,31802.0,1474.0,404.0,9.0,228868.0,2714.0
Switzerland,22253.0,596.0,821.0,56.0,8704.0,12728.0,391.0,2571.0,95.0,167429.0,19346.0
Belgium,22194.0,1380.0,2035.0,403.0,4157.0,16002.0,1260.0,1915.0,176.0,80512.0,6947.0
Netherlands,19580.0,777.0,2101.0,234.0,250.0,17229.0,1424.0,1143.0,123.0,86589.0,5053.0
Canada,17872.0,1205.0,377.0,54.0,4028.0,13467.0,426.0,474.0,10.0,346507.0,9181.0
Brazil,13831.0,1648.0,681.0,117.0,127.0,13023.0,296.0,65.0,3.0,54824.0,258.0
Austria,12639.0,342.0,243.0,23.0,4046.0,8350.0,243.0,1403.0,27.0,115235.0,12795.0
Portugal,12442.0,712.0,345.0,34.0,184.0,11913.0,271.0,1220.0,34.0,121256.0,11892.0
S. Korea,10331.0,47.0,192.0,6.0,6694.0,3445.0,55.0,202.0,4.0,477304.0,9310.0
Israel,9248.0,344.0,65.0,8.0,770.0,8413.0,149.0,1068.0,8.0,117339.0,13557.0
Sweden,7693.0,487.0,591.0,114.0,205.0,6897.0,640.0,762.0,59.0,54700.0,5416.0
Russia,7497.0,1154.0,58.0,11.0,494.0,6945.0,8.0,51.0,0.4,795000.0,5448.0
Norway,5953.0,88.0,89.0,13.0,32.0,5832.0,78.0,1098.0,16.0,113896.0,21009.0
Australia,5919.0,24.0,48.0,3.0,2547.0,3324.0,93.0,232.0,2.0,310700.0,12184.0
Ireland,5709.0,345.0,210.0,36.0,25.0,5474.0,165.0,1156.0,43.0,42484.0,8604.0
India,5311.0,533.0,150.0,14.0,421.0,4740.0,0.0,4.0,0.1,140293.0,102.0
Chile,5116.0,301.0,43.0,6.0,898.0,4175.0,337.0,268.0,2.0,57122.0,2988.0
Denmark,5071.0,390.0,203.0,16.0,1491.0,3377.0,127.0,875.0,35.0,58419.0,10086.0
Czechia,4944.0,122.0,88.0,10.0,172.0,4684.0,86.0,462.0,8.0,91247.0,8521.0
Poland,4848.0,435.0,129.0,22.0,191.0,4528.0,50.0,128.0,3.0,92215.0,2437.0
Romania,4417.0,360.0,197.0,21.0,460.0,3760.0,274.0,230.0,10.0,43578.0,2265.0
Pakistan,4035.0,269.0,57.0,4.0,429.0,3549.0,28.0,18.0,0.3,39183.0,177.0
Malaysia,3963.0,170.0,63.0,1.0,1321.0,2579.0,92.0,122.0,2.0,55566.0,1717.0
Japan,3906.0,0.0,92.0,0.0,592.0,3222.0,79.0,31.0,0.7,55311.0,437.0
Philippines,3764.0,104.0,177.0,14.0,84.0,3503.0,1.0,34.0,2.0,22958.0,210.0
Ecuador,3747.0,0.0,191.0,0.0,100.0,3456.0,156.0,212.0,11.0,13039.0,739.0
Luxembourg,2970.0,127.0,44.0,3.0,500.0,2426.0,35.0,4745.0,70.0,25702.0,41059.0
Peru,2954.0,393.0,107.0,15.0,1301.0,1546.0,109.0,90.0,3.0,21555.0,654.0
Saudi Arabia,2795.0,190.0,41.0,3.0,615.0,2139.0,41.0,80.0,1.0,0.0,0.0
Indonesia,2738.0,247.0,221.0,12.0,204.0,2313.0,0.0,10.0,0.8,14354.0,52.0
Serbia,2447.0,247.0,61.0,3.0,118.0,2268.0,109.0,280.0,7.0,9626.0,1102.0
Mexico,2439.0,296.0,125.0,31.0,633.0,1681.0,89.0,19.0,1.0,20475.0,159.0
UAE,2359.0,283.0,12.0,1.0,186.0,2161.0,1.0,239.0,1.0,220000.0,22244.0
Finland,2308.0,132.0,34.0,7.0,300.0,1974.0,81.0,417.0,6.0,34900.0,6299.0
Thailand,2258.0,38.0,27.0,1.0,888.0,1343.0,61.0,32.0,0.4,71860.0,1030.0
Panama,2100.0,0.0,55.0,0.0,14.0,2031.0,88.0,487.0,13.0,10297.0,2386.0
Qatar,2057.0,225.0,6.0,2.0,150.0,1901.0,37.0,714.0,2.0,41818.0,14515.0
Dominican Republic,1956.0,128.0,98.0,12.0,36.0,1822.0,147.0,180.0,9.0,4542.0,419.0
Greece,1832.0,77.0,81.0,2.0,269.0,1482.0,90.0,176.0,8.0,28584.0,2742.0
Colombia,1780.0,201.0,50.0,4.0,100.0,1630.0,76.0,35.0,1.0,30445.0,598.0
South Africa,1749.0,63.0,13.0,1.0,95.0,1641.0,7.0,29.0,0.2,58098.0,980.0
Argentina,1628.0,0.0,56.0,3.0,338.0,1234.0,96.0,36.0,1.0,11778.0,261.0
Iceland,1586.0,24.0,6.0,0.0,559.0,1021.0,11.0,4648.0,18.0,28991.0,84957.0
Singapore,1481.0,106.0,6.0,0.0,377.0,1098.0,29.0,253.0,1.0,65000.0,11110.0
Algeria,1468.0,45.0,193.0,20.0,113.0,1162.0,46.0,33.0,4.0,3359.0,77.0
Ukraine,1462.0,143.0,45.0,7.0,28.0,1389.0,16.0,33.0,1.0,6385.0,146.0
Egypt,1450.0,128.0,94.0,9.0,276.0,1080.0,0.0,14.0,0.9,25000.0,244.0
Croatia,1282.0,60.0,18.0,2.0,167.0,1097.0,35.0,312.0,4.0,12322.0,3002.0
Morocco,1184.0,64.0,90.0,10.0,93.0,1001.0,1.0,32.0,2.0,5437.0,147.0
New Zealand,1160.0,54.0,1.0,0.0,241.0,918.0,4.0,241.0,0.2,42826.0,8881.0
Estonia,1149.0,41.0,21.0,2.0,69.0,1059.0,12.0,866.0,16.0,23546.0,17750.0
Iraq,1122.0,91.0,65.0,1.0,373.0,684.0,0.0,28.0,2.0,26331.0,655.0
Slovenia,1059.0,38.0,36.0,6.0,102.0,921.0,30.0,509.0,17.0,29455.0,14168.0
Moldova,1056.0,91.0,22.0,3.0,40.0,994.0,80.0,262.0,5.0,5108.0,1266.0
Hong Kong,936.0,21.0,4.0,0.0,236.0,696.0,12.0,125.0,0.5,96709.0,12900.0
Lithuania,880.0,37.0,15.0,0.0,8.0,857.0,11.0,323.0,6.0,27807.0,10215.0
Belarus,861.0,161.0,13.0,0.0,54.0,794.0,31.0,91.0,1.0,43000.0,4551.0
Armenia,853.0,20.0,8.0,0.0,87.0,758.0,30.0,288.0,3.0,5140.0,1735.0
Hungary,817.0,73.0,47.0,9.0,71.0,699.0,17.0,85.0,5.0,23746.0,2458.0
Bahrain,811.0,55.0,5.0,1.0,458.0,348.0,4.0,477.0,3.0,47684.0,28023.0
Bosnia and Herzegovina,764.0,90.0,33.0,4.0,68.0,663.0,4.0,233.0,10.0,6911.0,2106.0
Kuwait,743.0,78.0,1.0,0.0,105.0,637.0,23.0,174.0,0.2,0.0,0.0
Azerbaijan,717.0,76.0,8.0,1.0,44.0,665.0,23.0,71.0,0.8,53300.0,5257.0
Diamond Princess,712.0,0.0,11.0,0.0,619.0,82.0,10.0,0.0,0.0,0.0,0.0
Kazakhstan,697.0,35.0,6.0,0.0,51.0,640.0,16.0,37.0,0.3,54767.0,2917.0
Cameroon,658.0,0.0,9.0,0.0,43.0,606.0,0.0,25.0,0.3,0.0,0.0
Tunisia,623.0,27.0,23.0,1.0,25.0,575.0,39.0,53.0,2.0,8274.0,700.0
North Macedonia,599.0,29.0,26.0,3.0,30.0,543.0,15.0,288.0,12.0,5879.0,2822.0
Slovakia,581.0,47.0,2.0,0.0,13.0,566.0,3.0,106.0,0.4,17639.0,3231.0
Bulgaria,577.0,28.0,23.0,1.0,42.0,512.0,21.0,83.0,3.0,15899.0,2288.0
Lebanon,548.0,7.0,19.0,0.0,62.0,467.0,29.0,80.0,3.0,10221.0,1497.0
Latvia,548.0,6.0,2.0,1.0,16.0,530.0,5.0,291.0,1.0,22575.0,11969.0
Andorra,545.0,20.0,22.0,1.0,39.0,484.0,17.0,7054.0,285.0,1673.0,21653.0
Uzbekistan,504.0,47.0,2.0,0.0,30.0,472.0,8.0,15.0,0.06,0.0,0.0
Cyprus,494.0,29.0,9.0,0.0,47.0,438.0,13.0,409.0,7.0,13017.0,10781.0
Costa Rica,483.0,16.0,2.0,0.0,24.0,457.0,14.0,95.0,0.4,5525.0,1085.0
Afghanistan,423.0,56.0,14.0,3.0,18.0,391.0,0.0,11.0,0.4,0.0,0.0
Uruguay,415.0,0.0,6.0,0.0,123.0,286.0,14.0,119.0,2.0,5385.0,1550.0
Cuba,396.0,46.0,11.0,2.0,27.0,358.0,15.0,35.0,1.0,7054.0,623.0
Burkina Faso,384.0,20.0,19.0,1.0,127.0,238.0,0.0,18.0,0.9,0.0,0.0
Albania,383.0,6.0,22.0,1.0,131.0,230.0,7.0,133.0,8.0,2753.0,957.0
Taiwan,376.0,3.0,5.0,0.0,61.0,310.0,0.0,16.0,0.2,40702.0,1709.0
Oman,371.0,40.0,2.0,0.0,67.0,302.0,3.0,73.0,0.4,0.0,0.0
Jordan,353.0,4.0,6.0,0.0,138.0,209.0,5.0,35.0,0.6,17000.0,1666.0
Ivory Coast,349.0,26.0,3.0,0.0,41.0,305.0,0.0,13.0,0.1,0.0,0.0
Réunion,349.0,0.0,0.0,0.0,40.0,309.0,4.0,390.0,0.0,0.0,0.0
Channel Islands,335.0,12.0,7.0,0.0,34.0,294.0,0.0,1927.0,40.0,1157.0,6655.0
Honduras,305.0,7.0,22.0,0.0,6.0,277.0,10.0,31.0,2.0,0.0,0.0
Malta,293.0,52.0,0.0,0.0,5.0,288.0,4.0,664.0,0.0,10923.0,24738.0
Ghana,287.0,73.0,5.0,0.0,31.0,251.0,2.0,9.0,0.2,0.0,0.0
Niger,278.0,25.0,11.0,1.0,26.0,241.0,0.0,11.0,0.5,4199.0,173.0
San Marino,277.0,0.0,32.0,0.0,35.0,210.0,14.0,8164.0,943.0,586.0,17270.0
Mauritius,268.0,24.0,7.0,0.0,8.0,253.0,3.0,211.0,6.0,4913.0,3863.0
Palestine,261.0,7.0,1.0,0.0,42.0,218.0,0.0,51.0,0.2,15140.0,2968.0
Nigeria,254.0,16.0,6.0,1.0,44.0,204.0,2.0,1.0,0.03,5000.0,24.0
Vietnam,249.0,4.0,0.0,0.0,123.0,126.0,8.0,3.0,0.0,106399.0,1093.0
Montenegro,241.0,8.0,2.0,0.0,4.0,235.0,7.0,384.0,3.0,2014.0,3207.0
Senegal,237.0,11.0,2.0,0.0,105.0,130.0,1.0,14.0,0.1,0.0,0.0
