Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,822097.0,2014.0,43424.0,87.0,87126.0,691547.0,14651.0,0.0,0.0,0.0,0.0
Europe,1100045.0,10789.0,102653.0,817.0,317442.0,679950.0,25551.0,0.0,0.0,0.0,0.0
Asia,389767.0,6610.0,14942.0,156.0,183967.0,190858.0,6337.0,0.0,0.0,0.0,0.0
South America,82800.0,548.0,3874.0,25.0,36367.0,42559.0,8818.0,0.0,0.0,0.0,0.0
Oceania,8157.0,17.0,83.0,0.0,5252.0,2822.0,54.0,0.0,0.0,0.0,0.0
Africa,23201.0,235.0,1131.0,6.0,5903.0,16167.0,174.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,644.0,62.0,7.0,0.0,0.0,0.0,0.0
World,2426788.0,20213.0,166122.0,1091.0,636701.0,1623965.0,55592.0,311.0,21.3,0.0,0.0
USA,765613.0,977.0,40620.0,45.0,71253.0,653740.0,13566.0,2313.0,123.0,3898399.0,11778.0
Spain,200210.0,1536.0,20852.0,399.0,80587.0,98771.0,7371.0,4282.0,446.0,930230.0,19896.0
Italy,178972.0,0.0,23660.0,0.0,47055.0,108257.0,2635.0,2960.0,391.0,1356541.0,22436.0
France,152894.0,0.0,19718.0,0.0,36578.0,96598.0,5744.0,2342.0,302.0,463662.0,7103.0
Germany,145743.0,1.0,4642.0,0.0,91500.0,49601.0,2889.0,1740.0,55.0,1728357.0,20629.0
UK,120067.0,0.0,16060.0,0.0,0.0,103663.0,1559.0,1769.0,237.0,482063.0,7101.0
Turkey,86306.0,0.0,2017.0,0.0,11976.0,72313.0,1922.0,1023.0,24.0,634277.0,7521.0
Iran,83505.0,1294.0,5209.0,91.0,59273.0,19023.0,3389.0,994.0,62.0,353012.0,4203.0
Russia,47121.0,4268.0,405.0,44.0,3446.0,43270.0,8.0,323.0,3.0,2050000.0,14047.0
Belgium,39983.0,1487.0,5828.0,145.0,8895.0,25260.0,1071.0,3450.0,503.0,161896.0,13969.0
Brazil,39144.0,490.0,2484.0,22.0,22130.0,14530.0,7919.0,184.0,12.0,62985.0,296.0
Canada,35056.0,0.0,1587.0,0.0,11843.0,21626.0,557.0,929.0,42.0,549349.0,14555.0
Netherlands,33405.0,750.0,3751.0,67.0,250.0,29404.0,1176.0,1950.0,219.0,171415.0,10004.0
Switzerland,27944.0,204.0,1406.0,13.0,17800.0,8738.0,386.0,3229.0,162.0,224442.0,25933.0
Portugal,20863.0,657.0,735.0,21.0,610.0,19518.0,215.0,2046.0,72.0,235878.0,23133.0
India,17615.0,0.0,559.0,0.0,2854.0,14202.0,0.0,13.0,0.4,401586.0,291.0
Peru,15628.0,0.0,400.0,0.0,6811.0,8417.0,167.0,474.0,12.0,143745.0,4360.0
Ireland,15251.0,0.0,610.0,0.0,77.0,14564.0,294.0,3089.0,124.0,90646.0,18358.0
Austria,14795.0,46.0,470.0,18.0,10631.0,3694.0,194.0,1643.0,52.0,182949.0,20313.0
Sweden,14777.0,392.0,1580.0,40.0,550.0,12647.0,521.0,1463.0,156.0,74600.0,7387.0
Israel,13654.0,163.0,173.0,1.0,3872.0,9609.0,150.0,1577.0,20.0,240303.0,27763.0
Japan,10797.0,0.0,236.0,0.0,1159.0,9402.0,217.0,85.0,2.0,112816.0,892.0
S. Korea,10674.0,13.0,236.0,2.0,8114.0,2324.0,55.0,208.0,5.0,563035.0,10982.0
Saudi Arabia,10484.0,1122.0,103.0,6.0,1490.0,8891.0,97.0,301.0,3.0,180000.0,5170.0
Chile,10088.0,0.0,133.0,0.0,4338.0,5617.0,360.0,528.0,7.0,113649.0,5945.0
Ecuador,9468.0,0.0,474.0,0.0,1061.0,7933.0,124.0,537.0,27.0,31809.0,1803.0
Poland,9453.0,166.0,362.0,2.0,1133.0,7958.0,160.0,250.0,10.0,214236.0,5661.0
Romania,8936.0,190.0,469.0,18.0,2017.0,6450.0,261.0,465.0,24.0,98491.0,5120.0
Pakistan,8418.0,70.0,176.0,8.0,1970.0,6272.0,46.0,38.0,0.8,104302.0,472.0
Mexico,8261.0,764.0,686.0,36.0,2627.0,4948.0,207.0,64.0,5.0,49570.0,384.0
Singapore,8014.0,1426.0,11.0,0.0,768.0,7235.0,22.0,1370.0,2.0,94796.0,16203.0
Denmark,7515.0,131.0,364.0,9.0,4312.0,2839.0,84.0,1297.0,63.0,96244.0,16616.0
UAE,7265.0,484.0,43.0,2.0,1360.0,5862.0,1.0,735.0,4.0,767000.0,77550.0
Norway,7103.0,25.0,165.0,0.0,32.0,6906.0,58.0,1310.0,30.0,143255.0,26425.0
Czechia,6787.0,41.0,188.0,2.0,1311.0,5288.0,84.0,634.0,18.0,172123.0,16073.0
Indonesia,6760.0,185.0,590.0,8.0,747.0,5423.0,0.0,25.0,2.0,43749.0,160.0
Serbia,6630.0,312.0,125.0,3.0,870.0,5635.0,108.0,759.0,14.0,41812.0,4785.0
Australia,6619.0,7.0,71.0,0.0,4258.0,2290.0,49.0,260.0,3.0,431734.0,16931.0
Philippines,6459.0,200.0,428.0,19.0,613.0,5418.0,1.0,59.0,4.0,59928.0,547.0
Qatar,6015.0,567.0,9.0,1.0,555.0,5451.0,37.0,2088.0,3.0,64620.0,22429.0
Ukraine,5710.0,261.0,151.0,10.0,359.0,5200.0,45.0,131.0,3.0,58093.0,1328.0
Malaysia,5425.0,36.0,89.0,0.0,3295.0,2041.0,45.0,168.0,3.0,108216.0,3344.0
Belarus,4779.0,0.0,47.0,0.0,494.0,4238.0,65.0,506.0,5.0,98231.0,10396.0
Dominican Republic,4680.0,0.0,226.0,0.0,363.0,4091.0,114.0,431.0,21.0,15583.0,1436.0
Panama,4467.0,194.0,126.0,6.0,165.0,4176.0,98.0,1035.0,29.0,19091.0,4425.0
Finland,3868.0,85.0,98.0,4.0,1700.0,2070.0,67.0,698.0,18.0,59200.0,10685.0
Colombia,3792.0,0.0,179.0,0.0,711.0,2902.0,98.0,75.0,4.0,62746.0,1233.0
Luxembourg,3550.0,0.0,73.0,0.0,627.0,2850.0,31.0,5671.0,117.0,33666.0,53781.0
South Africa,3158.0,0.0,54.0,0.0,903.0,2201.0,36.0,53.0,0.9,114711.0,1934.0
Egypt,3144.0,0.0,239.0,0.0,732.0,2173.0,0.0,31.0,2.0,55000.0,537.0
Morocco,2990.0,135.0,143.0,2.0,340.0,2507.0,1.0,81.0,4.0,15736.0,426.0
Bangladesh,2948.0,492.0,101.0,10.0,85.0,2762.0,1.0,18.0,0.6,26604.0,162.0
Argentina,2941.0,0.0,136.0,2.0,737.0,2068.0,123.0,65.0,3.0,32712.0,724.0
Thailand,2792.0,27.0,47.0,0.0,1999.0,746.0,61.0,40.0,0.7,142589.0,2043.0
Algeria,2629.0,0.0,375.0,0.0,1047.0,1207.0,40.0,60.0,9.0,6500.0,148.0
Moldova,2472.0,0.0,68.0,1.0,457.0,1947.0,212.0,613.0,17.0,11763.0,2916.0
Greece,2235.0,0.0,113.0,0.0,269.0,1853.0,67.0,214.0,11.0,53290.0,5113.0
Kuwait,1995.0,80.0,9.0,2.0,367.0,1619.0,39.0,467.0,2.0,0.0,0.0
Hungary,1984.0,68.0,199.0,10.0,267.0,1518.0,60.0,205.0,21.0,48057.0,4975.0
Bahrain,1895.0,14.0,7.0,0.0,769.0,1119.0,2.0,1114.0,4.0,89225.0,52437.0
Croatia,1881.0,10.0,47.0,0.0,771.0,1063.0,18.0,458.0,11.0,26610.0,6482.0
Kazakhstan,1775.0,99.0,19.0,2.0,428.0,1328.0,22.0,95.0,1.0,117949.0,6282.0
Iceland,1773.0,2.0,9.0,0.0,1362.0,402.0,4.0,5196.0,26.0,43143.0,126429.0
Uzbekistan,1582.0,17.0,5.0,0.0,261.0,1316.0,8.0,47.0,0.1,136000.0,4063.0
Iraq,1539.0,0.0,82.0,0.0,1009.0,448.0,0.0,38.0,2.0,56147.0,1396.0
Estonia,1535.0,7.0,40.0,0.0,165.0,1330.0,9.0,1157.0,30.0,40930.0,30855.0
New Zealand,1440.0,9.0,12.0,0.0,974.0,454.0,3.0,299.0,2.0,86305.0,17897.0
