Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,792285.0,879.0,41647.0,110.0,83378.0,667260.0,14660.0,0.0,0.0,0.0,0.0
Europe,1073214.0,13178.0,100191.0,913.0,305663.0,667360.0,25717.0,0.0,0.0,0.0,0.0
Asia,376687.0,5903.0,14592.0,191.0,178184.0,183911.0,6358.0,0.0,0.0,0.0,0.0
South America,78207.0,234.0,3665.0,12.0,27698.0,46844.0,7532.0,0.0,0.0,0.0,0.0
Oceania,8134.0,29.0,82.0,1.0,5159.0,2893.0,68.0,0.0,0.0,0.0,0.0
Africa,21915.0,174.0,1083.0,1.0,5482.0,15350.0,195.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,644.0,62.0,7.0,0.0,0.0,0.0,0.0
World,2351163.0,20397.0,161275.0,1228.0,606208.0,1583680.0,54537.0,302.0,20.7,0.0,0.0
USA,738923.0,131.0,39015.0,1.0,68285.0,631623.0,13551.0,2232.0,118.0,3722209.0,11245.0
Spain,195944.0,1528.0,20453.0,410.0,77357.0,98134.0,7371.0,4191.0,437.0,930230.0,19896.0
Italy,175925.0,0.0,23227.0,0.0,44927.0,107771.0,2733.0,2910.0,384.0,1305833.0,21598.0
France,151793.0,0.0,19323.0,0.0,35983.0,96487.0,5833.0,2325.0,296.0,463662.0,7103.0
Germany,143779.0,55.0,4543.0,5.0,88000.0,51236.0,2922.0,1716.0,54.0,1728357.0,20629.0
UK,114217.0,0.0,15464.0,0.0,0.0,98409.0,1559.0,1682.0,228.0,460437.0,6783.0
Turkey,82329.0,0.0,1890.0,0.0,10453.0,69986.0,1894.0,976.0,22.0,598933.0,7101.0
Iran,82211.0,1343.0,5118.0,87.0,57023.0,20070.0,3456.0,979.0,61.0,341662.0,4068.0
Russia,42853.0,6060.0,361.0,48.0,3291.0,39201.0,8.0,294.0,2.0,1940000.0,13294.0
Belgium,38496.0,1313.0,5683.0,230.0,8757.0,24056.0,1081.0,3322.0,490.0,153778.0,13269.0
Brazil,36925.0,203.0,2372.0,11.0,14026.0,20527.0,6634.0,174.0,11.0,62985.0,296.0
Canada,33383.0,0.0,1470.0,0.0,11207.0,20706.0,557.0,885.0,39.0,516216.0,13677.0
Netherlands,32655.0,1066.0,3684.0,83.0,250.0,28721.0,1279.0,1906.0,215.0,154911.0,9041.0
Switzerland,27740.0,336.0,1368.0,0.0,17100.0,9272.0,386.0,3205.0,158.0,221263.0,25566.0
