Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
New Zealand,950.0,82.0,1.0,0.0,127.0,822.0,1.0,197.0,0.2,33116.0,6867.0
Morocco,883.0,92.0,58.0,10.0,65.0,760.0,1.0,24.0,2.0,4187.0,113.0
Iraq,878.0,58.0,56.0,2.0,259.0,563.0,0.0,22.0,1.0,0.0,0.0
Hong Kong,862.0,17.0,4.0,0.0,173.0,685.0,8.0,115.0,0.5,90000.0,12005.0
Lithuania,771.0,75.0,11.0,2.0,7.0,753.0,11.0,283.0,4.0,21376.0,7852.0
Armenia,770.0,34.0,7.0,0.0,43.0,720.0,30.0,260.0,2.0,3994.0,1348.0
Moldova,752.0,161.0,12.0,4.0,29.0,711.0,65.0,186.0,3.0,681.0,169.0
Diamond Princess,712.0,0.0,11.0,0.0,619.0,82.0,10.0,0.0,0.0,0.0,0.0
Bahrain,688.0,16.0,4.0,0.0,423.0,261.0,3.0,404.0,2.0,39379.0,23143.0
Hungary,678.0,55.0,32.0,6.0,58.0,588.0,17.0,70.0,3.0,19424.0,2011.0
Bosnia and Herzegovina,624.0,45.0,21.0,4.0,30.0,573.0,4.0,190.0,6.0,4696.0,1431.0
Tunisia,553.0,58.0,18.0,0.0,5.0,530.0,26.0,47.0,2.0,6485.0,549.0
Kazakhstan,531.0,67.0,5.0,2.0,36.0,490.0,6.0,28.0,0.3,316.0,17.0
Azerbaijan,521.0,78.0,5.0,0.0,32.0,484.0,17.0,51.0,0.5,35000.0,3452.0
Lebanon,520.0,12.0,17.0,0.0,54.0,449.0,27.0,76.0,2.0,9022.0,1322.0
Cameroon,509.0,0.0,8.0,0.0,17.0,484.0,0.0,19.0,0.3,0.0,0.0
Latvia,509.0,16.0,1.0,0.0,1.0,507.0,3.0,270.0,0.5,19380.0,10275.0
Bulgaria,503.0,18.0,17.0,3.0,34.0,452.0,26.0,72.0,2.0,566.0,81.0
North Macedonia,483.0,53.0,17.0,5.0,20.0,446.0,11.0,232.0,8.0,4920.0,2362.0
Kuwait,479.0,62.0,1.0,1.0,93.0,385.0,17.0,112.0,0.2,0.0,0.0
Slovakia,471.0,21.0,1.0,0.0,10.0,460.0,3.0,86.0,0.2,13631.0,2497.0
Andorra,466.0,27.0,17.0,1.0,21.0,428.0,12.0,6031.0,220.0,0.0,0.0
Belarus,440.0,89.0,5.0,1.0,53.0,382.0,11.0,47.0,0.5,32000.0,3386.0
Costa Rica,435.0,19.0,2.0,0.0,13.0,420.0,13.0,85.0,0.4,4654.0,914.0
Cyprus,426.0,30.0,11.0,0.0,33.0,382.0,11.0,353.0,9.0,10154.0,8410.0
Uruguay,386.0,0.0,4.0,0.0,86.0,296.0,13.0,111.0,1.0,4786.0,1378.0
Taiwan,355.0,7.0,5.0,0.0,50.0,300.0,0.0,15.0,0.2,35442.0,1488.0
Réunion,334.0,13.0,0.0,0.0,40.0,294.0,4.0,373.0,0.0,0.0,0.0
Albania,333.0,29.0,18.0,1.0,99.0,216.0,7.0,116.0,6.0,2247.0,781.0
Jordan,323.0,13.0,5.0,0.0,74.0,244.0,5.0,32.0,0.5,239.0,23.0
Burkina Faso,318.0,16.0,16.0,0.0,66.0,236.0,0.0,15.0,0.8,0.0,0.0
Afghanistan,299.0,18.0,7.0,1.0,10.0,282.0,0.0,8.0,0.2,0.0,0.0
Cuba,288.0,19.0,6.0,0.0,15.0,267.0,11.0,25.0,0.5,3342.0,295.0
Oman,277.0,25.0,2.0,1.0,61.0,214.0,3.0,54.0,0.4,0.0,0.0
Uzbekistan,266.0,39.0,2.0,0.0,25.0,239.0,8.0,8.0,0.06,0.0,0.0
Honduras,264.0,42.0,15.0,0.0,3.0,246.0,10.0,27.0,2.0,0.0,0.0
San Marino,251.0,0.0,32.0,0.0,26.0,193.0,13.0,7397.0,943.0,586.0,17270.0
Channel Islands,240.0,8.0,5.0,1.0,13.0,222.0,0.0,1380.0,29.0,0.0,0.0
Vietnam,240.0,1.0,0.0,0.0,90.0,150.0,3.0,2.0,0.0,75458.0,775.0
Senegal,219.0,12.0,2.0,1.0,72.0,145.0,1.0,13.0,0.1,195.0,12.0
Ivory Coast,218.0,0.0,1.0,0.0,19.0,198.0,0.0,8.0,0.04,0.0,0.0
Palestine,216.0,22.0,1.0,0.0,21.0,194.0,0.0,42.0,0.2,7553.0,1481.0
Malta,213.0,11.0,0.0,0.0,2.0,211.0,3.0,482.0,0.0,9703.0,21975.0
Nigeria,210.0,0.0,4.0,0.0,25.0,181.0,2.0,1.0,0.02,0.0,0.0
Ghana,205.0,0.0,5.0,0.0,31.0,169.0,2.0,7.0,0.2,0.0,0.0
Montenegro,201.0,27.0,2.0,0.0,1.0,198.0,4.0,320.0,3.0,1193.0,1899.0
Mauritius,196.0,10.0,7.0,0.0,0.0,189.0,1.0,154.0,6.0,0.0,0.0
Faeroe Islands,181.0,2.0,0.0,0.0,93.0,88.0,2.0,3704.0,0.0,4800.0,98234.0
Sri Lanka,166.0,7.0,5.0,1.0,27.0,134.0,5.0,8.0,0.2,0.0,0.0
Georgia,162.0,7.0,1.0,1.0,36.0,125.0,6.0,41.0,0.3,0.0,0.0
Venezuela,155.0,2.0,7.0,0.0,52.0,96.0,6.0,5.0,0.2,1779.0,63.0
DRC,148.0,0.0,16.0,0.0,3.0,129.0,0.0,2.0,0.2,0.0,0.0
Kyrgyzstan,144.0,14.0,1.0,0.0,9.0,134.0,5.0,22.0,0.2,9618.0,1474.0
Martinique,143.0,0.0,3.0,0.0,27.0,113.0,18.0,381.0,8.0,0.0,0.0
Bolivia,139.0,7.0,10.0,1.0,1.0,128.0,3.0,12.0,0.9,591.0,51.0
Brunei ,135.0,1.0,1.0,0.0,66.0,68.0,3.0,309.0,2.0,7801.0,17832.0
Guadeloupe,134.0,4.0,7.0,0.0,24.0,103.0,14.0,335.0,17.0,0.0,0.0
Mayotte,134.0,6.0,2.0,0.0,14.0,118.0,3.0,491.0,7.0,479.0,1756.0
Kenya,126.0,4.0,4.0,0.0,4.0,118.0,2.0,2.0,0.07,2201.0,41.0
Isle of Man,126.0,12.0,1.0,0.0,0.0,125.0,0.0,1482.0,12.0,1319.0,15512.0
Niger,120.0,0.0,5.0,0.0,0.0,115.0,0.0,5.0,0.2,3729.0,154.0
Cambodia,114.0,0.0,0.0,0.0,50.0,64.0,1.0,7.0,0.0,5768.0,345.0
Trinidad and Tobago,103.0,5.0,6.0,0.0,1.0,96.0,0.0,74.0,4.0,736.0,526.0
Rwanda,102.0,13.0,0.0,0.0,0.0,102.0,0.0,8.0,0.0,0.0,0.0
Gibraltar,98.0,3.0,0.0,0.0,52.0,46.0,0.0,2909.0,0.0,1269.0,37666.0
Paraguay,96.0,4.0,3.0,0.0,12.0,81.0,2.0,13.0,0.4,1289.0,181.0
Liechtenstein,77.0,2.0,1.0,1.0,0.0,76.0,0.0,2020.0,26.0,900.0,23605.0
Guinea,73.0,0.0,0.0,0.0,2.0,71.0,0.0,6.0,0.0,0.0,0.0
Bangladesh,70.0,9.0,8.0,2.0,30.0,32.0,1.0,0.4,0.05,2086.0,13.0
Madagascar,70.0,0.0,0.0,0.0,0.0,70.0,6.0,3.0,0.0,0.0,0.0
Monaco,66.0,2.0,1.0,0.0,3.0,62.0,2.0,1682.0,25.0,0.0,0.0
Aruba,64.0,2.0,0.0,0.0,1.0,63.0,0.0,599.0,0.0,863.0,8083.0
Guatemala,57.0,7.0,2.0,1.0,15.0,40.0,1.0,3.0,0.1,0.0,0.0
French Guiana,57.0,0.0,0.0,0.0,22.0,35.0,1.0,191.0,0.0,0.0,0.0
El Salvador,56.0,10.0,3.0,0.0,2.0,51.0,4.0,9.0,0.5,0.0,0.0
Jamaica,53.0,0.0,3.0,0.0,7.0,43.0,0.0,18.0,1.0,540.0,182.0
Barbados,52.0,1.0,0.0,0.0,0.0,52.0,0.0,181.0,0.0,382.0,1329.0
Djibouti,50.0,1.0,0.0,0.0,8.0,42.0,0.0,51.0,0.0,0.0,0.0
Uganda,48.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,2629.0,57.0
Macao,43.0,1.0,0.0,0.0,10.0,33.0,0.0,66.0,0.0,0.0,0.0
Mali,41.0,2.0,3.0,0.0,1.0,37.0,0.0,2.0,0.1,0.0,0.0
Togo,41.0,1.0,3.0,0.0,17.0,21.0,0.0,5.0,0.4,0.0,0.0
French Polynesia,40.0,1.0,0.0,0.0,0.0,40.0,1.0,142.0,0.0,583.0,2075.0
Zambia,39.0,0.0,1.0,0.0,2.0,36.0,0.0,2.0,0.05,619.0,34.0
Ethiopia,38.0,3.0,0.0,0.0,4.0,34.0,1.0,0.3,0.0,1222.0,11.0
Bermuda,35.0,0.0,0.0,0.0,14.0,21.0,0.0,562.0,0.0,272.0,4368.0
Cayman Islands,29.0,0.0,1.0,0.0,1.0,27.0,0.0,441.0,15.0,265.0,4032.0
Eritrea,29.0,7.0,0.0,0.0,0.0,29.0,0.0,8.0,0.0,0.0,0.0
Bahamas,24.0,0.0,3.0,0.0,0.0,21.0,1.0,61.0,8.0,0.0,0.0
Saint Martin,24.0,2.0,2.0,1.0,5.0,17.0,6.0,621.0,52.0,18.0,466.0
Guyana,23.0,0.0,4.0,0.0,0.0,19.0,0.0,29.0,5.0,83.0,106.0
Sint Maarten,23.0,0.0,4.0,0.0,6.0,13.0,0.0,536.0,93.0,82.0,1912.0
Congo,22.0,0.0,2.0,0.0,2.0,18.0,0.0,4.0,0.4,0.0,0.0
Gabon,21.0,0.0,1.0,0.0,1.0,19.0,0.0,9.0,0.4,0.0,0.0
Myanmar,21.0,1.0,1.0,0.0,0.0,20.0,0.0,0.4,0.02,0.0,0.0
Tanzania,20.0,0.0,1.0,0.0,3.0,16.0,0.0,0.3,0.02,0.0,0.0
Haiti,20.0,2.0,0.0,0.0,1.0,19.0,0.0,2.0,0.0,200.0,18.0
Maldives,19.0,0.0,0.0,0.0,13.0,6.0,0.0,35.0,0.0,0.0,0.0
Guinea-Bissau,18.0,3.0,0.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0
New Caledonia,18.0,0.0,0.0,0.0,1.0,17.0,0.0,63.0,0.0,1390.0,4869.0
Libya,17.0,0.0,1.0,0.0,0.0,16.0,0.0,2.0,0.1,131.0,19.0
Syria,16.0,0.0,2.0,0.0,2.0,12.0,0.0,0.9,0.1,0.0,0.0
Benin,16.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0
Equatorial Guinea,16.0,0.0,0.0,0.0,1.0,15.0,0.0,11.0,0.0,0.0,0.0
Antigua and Barbuda,15.0,0.0,0.0,0.0,0.0,15.0,1.0,153.0,0.0,40.0,408.0
Dominica,14.0,0.0,0.0,0.0,0.0,14.0,0.0,194.0,0.0,0.0,0.0
Mongolia,14.0,0.0,0.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0
Namibia,14.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,0.0,301.0,118.0
Saint Lucia,13.0,0.0,0.0,0.0,1.0,12.0,0.0,71.0,0.0,0.0,0.0
Fiji,12.0,5.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0
Grenada,12.0,0.0,0.0,0.0,0.0,12.0,2.0,107.0,0.0,45.0,400.0
Curaçao,11.0,0.0,1.0,0.0,5.0,5.0,0.0,67.0,6.0,0.0,0.0
Greenland,11.0,1.0,0.0,0.0,3.0,8.0,0.0,194.0,0.0,542.0,9547.0
Angola,10.0,2.0,2.0,0.0,2.0,6.0,0.0,0.3,0.06,0.0,0.0
Sudan,10.0,0.0,2.0,0.0,2.0,6.0,0.0,0.2,0.05,0.0,0.0
Liberia,10.0,3.0,1.0,1.0,3.0,6.0,0.0,2.0,0.2,0.0,0.0
Suriname,10.0,0.0,1.0,0.0,0.0,9.0,0.0,17.0,2.0,0.0,0.0
Laos,10.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,437.0,60.0
Mozambique,10.0,0.0,0.0,0.0,1.0,9.0,0.0,0.3,0.0,338.0,11.0
Seychelles,10.0,0.0,0.0,0.0,0.0,10.0,0.0,102.0,0.0,0.0,0.0
MS Zaandam,9.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,9.0,0.0,1.0,0.0,0.0,8.0,0.0,0.6,0.07,316.0,21.0
Nepal,9.0,3.0,0.0,0.0,1.0,8.0,0.0,0.3,0.0,1521.0,52.0
Chad,9.0,1.0,0.0,0.0,0.0,9.0,0.0,0.5,0.0,0.0,0.0
Saint Kitts and Nevis,9.0,0.0,0.0,0.0,0.0,9.0,0.0,169.0,0.0,113.0,2124.0
Eswatini,9.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0
CAR,8.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Cabo Verde,7.0,1.0,1.0,0.0,0.0,6.0,0.0,13.0,2.0,0.0,0.0
Vatican City,7.0,0.0,0.0,0.0,0.0,7.0,0.0,8739.0,0.0,0.0,0.0
St. Vincent Grenadines,7.0,0.0,0.0,0.0,1.0,6.0,0.0,63.0,0.0,0.0,0.0
Somalia,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.4,0.0,0.0,0.0
Mauritania,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.2,67.0,14.0
Montserrat,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1202.0,0.0,0.0,0.0
St. Barth,6.0,0.0,0.0,0.0,1.0,5.0,0.0,607.0,0.0,0.0,0.0
Nicaragua,5.0,0.0,1.0,0.0,0.0,4.0,0.0,0.8,0.2,0.0,0.0
Bhutan,5.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0
Turks and Caicos,5.0,0.0,0.0,0.0,0.0,5.0,0.0,129.0,0.0,0.0,0.0
Botswana,4.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.4,175.0,74.0
Gambia,4.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.4,0.0,0.0
Belize,4.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,25.0,63.0
Malawi,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,0.0,0.0
Sierra Leone,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,2.0,0.3
Anguilla,3.0,0.0,0.0,0.0,0.0,3.0,0.0,200.0,0.0,0.0,0.0
British Virgin Islands,3.0,0.0,0.0,0.0,0.0,3.0,0.0,99.0,0.0,0.0,0.0
Burundi,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,2.0,0.2
Caribbean Netherlands,2.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,10.0,381.0
Falkland Islands,1.0,0.0,0.0,0.0,0.0,1.0,0.0,287.0,0.0,0.0,0.0
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,72.0,8.0
Timor-Leste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0
China,81639.0,19.0,3326.0,4.0,76755.0,1558.0,331.0,57.0,2.0,0.0,0.0
