Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
China,81093.0,39.0,3270.0,9.0,72703.0,5120.0,1749.0,56.0
Italy,63927.0,4789.0,6077.0,601.0,7432.0,50418.0,3204.0,1057.0
USA,42751.0,9205.0,520.0,101.0,295.0,41936.0,1040.0,129.0
Spain,33089.0,4321.0,2207.0,435.0,3355.0,27527.0,2355.0,708.0
Germany,29056.0,4183.0,123.0,29.0,453.0,28480.0,23.0,347.0
Iran,23049.0,1411.0,1812.0,127.0,8376.0,12861.0,0.0,274.0
France,19856.0,3838.0,860.0,186.0,2200.0,16796.0,2082.0,304.0
S. Korea,8961.0,64.0,111.0,7.0,3166.0,5684.0,59.0,175.0
Switzerland,8547.0,1073.0,118.0,20.0,131.0,8298.0,141.0,988.0
UK,6650.0,967.0,335.0,54.0,135.0,6180.0,20.0,98.0
Netherlands,4749.0,545.0,213.0,34.0,2.0,4534.0,435.0,277.0
Austria,4474.0,892.0,21.0,5.0,9.0,4444.0,14.0,497.0
Belgium,3743.0,342.0,88.0,13.0,401.0,3254.0,322.0,323.0
Norway,2621.0,236.0,10.0,3.0,6.0,2605.0,41.0,483.0
Portugal,2060.0,460.0,23.0,9.0,14.0,2023.0,47.0,202.0
Canada,2049.0,579.0,23.0,3.0,320.0,1706.0,1.0,54.0
Sweden,2046.0,112.0,25.0,4.0,16.0,2005.0,104.0,203.0
Brazil,1891.0,345.0,34.0,9.0,2.0,1855.0,18.0,9.0
Australia,1831.0,222.0,7.0,0.0,118.0,1706.0,11.0,72.0
Turkey,1529.0,293.0,37.0,7.0,0.0,1492.0,0.0,18.0
Malaysia,1518.0,212.0,14.0,4.0,159.0,1345.0,57.0,47.0
Denmark,1450.0,55.0,24.0,11.0,1.0,1425.0,55.0,250.0
Israel,1442.0,371.0,1.0,0.0,41.0,1400.0,29.0,167.0
Czechia,1236.0,116.0,1.0,0.0,7.0,1228.0,19.0,115.0
Japan,1128.0,27.0,42.0,1.0,235.0,851.0,49.0,9.0
Ireland,1125.0,219.0,6.0,2.0,5.0,1114.0,29.0,228.0
Ecuador,981.0,192.0,18.0,4.0,3.0,960.0,2.0,56.0
Luxembourg,875.0,77.0,8.0,0.0,6.0,861.0,3.0,1398.0
Pakistan,875.0,99.0,6.0,1.0,13.0,856.0,0.0,4.0
Poland,749.0,115.0,8.0,1.0,13.0,728.0,3.0,20.0
Chile,746.0,114.0,2.0,1.0,11.0,733.0,7.0,39.0
