Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
 China ,80815.0,22.0,3177.0,8.0,64152.0,13486.0,4020.0,56.1
 Italy ,17660.0,2547.0,1266.0,250.0,1439.0,14955.0,1328.0,292.1
 Iran ,11364.0,1289.0,514.0,85.0,3529.0,7321.0,0.0,135.3
 S. Korea ,7979.0,110.0,71.0,5.0,510.0,7398.0,93.0,155.6
 Spain ,4334.0,1188.0,122.0,36.0,193.0,4019.0,190.0,92.7
 Germany ,3675.0,930.0,8.0,2.0,46.0,3621.0,9.0,43.9
 France ,3661.0,785.0,79.0,18.0,12.0,3570.0,154.0,56.1
 USA ,2068.0,371.0,41.0,0.0,31.0,1996.0,10.0,6.2
 Switzerland ,1139.0,271.0,11.0,4.0,4.0,1124.0,0.0,131.6
 Norway ,959.0,159.0,1.0,0.0,1.0,957.0,27.0,176.9
 Sweden ,814.0,127.0,1.0,0.0,1.0,812.0,2.0,80.6
 Netherlands ,804.0,190.0,10.0,5.0,2.0,792.0,1.0,46.9
 Denmark ,801.0,127.0,0.0,0.0,1.0,800.0,2.0,138.3
 UK ,798.0,208.0,11.0,1.0,18.0,769.0,20.0,11.8
 Japan ,701.0,10.0,19.0,0.0,118.0,564.0,29.0,5.5
 Diamond Princess ,696.0,0.0,7.0,0.0,325.0,364.0,32.0,0.0
 Belgium ,559.0,160.0,3.0,0.0,1.0,555.0,2.0,48.2
 Austria ,504.0,143.0,1.0,0.0,6.0,497.0,1.0,56.0
 Qatar ,262.0,0.0,0.0,0.0,0.0,262.0,0.0,90.9
 Bahrain ,210.0,13.0,0.0,0.0,44.0,166.0,1.0,123.4
 Singapore ,200.0,13.0,0.0,0.0,97.0,103.0,11.0,34.2
 Australia ,199.0,43.0,3.0,0.0,26.0,170.0,1.0,7.8
 Malaysia ,197.0,39.0,0.0,0.0,32.0,165.0,4.0,6.1
 Greece ,190.0,73.0,1.0,0.0,2.0,187.0,2.0,18.2
 Canada ,158.0,16.0,1.0,0.0,11.0,146.0,1.0,4.2
 Finland ,155.0,46.0,0.0,0.0,1.0,154.0,0.0,28.0
 Brazil ,151.0,74.0,0.0,0.0,0.0,151.0,2.0,0.7
 Czechia ,141.0,25.0,0.0,0.0,0.0,141.0,2.0,13.2
 Slovenia ,141.0,45.0,0.0,0.0,0.0,141.0,4.0,67.8
 Iceland ,134.0,17.0,0.0,0.0,0.0,134.0,0.0,0.0
 Hong Kong ,132.0,1.0,4.0,1.0,77.0,51.0,4.0,17.6
 Israel ,126.0,17.0,0.0,0.0,4.0,122.0,2.0,14.6
 Portugal ,112.0,34.0,0.0,0.0,1.0,111.0,1.0,11.0
 Iraq ,101.0,18.0,9.0,1.0,24.0,68.0,0.0,2.5
 Kuwait ,100.0,20.0,0.0,0.0,5.0,95.0,4.0,23.4
 Ireland ,90.0,20.0,1.0,0.0,0.0,89.0,6.0,18.2
 Romania ,88.0,29.0,0.0,0.0,7.0,81.0,1.0,4.6
 UAE ,85.0,0.0,0.0,0.0,20.0,65.0,2.0,8.6
 India ,82.0,8.0,2.0,1.0,10.0,70.0,0.0,0.1
 San Marino ,80.0,8.0,5.0,0.0,2.0,73.0,3.0,0.0
 Egypt ,80.0,0.0,2.0,0.0,27.0,51.0,0.0,0.8
 Estonia ,79.0,52.0,0.0,0.0,0.0,79.0,0.0,59.6
 Lebanon ,77.0,9.0,3.0,0.0,1.0,73.0,3.0,11.3
 Thailand ,75.0,5.0,1.0,0.0,35.0,39.0,1.0,1.1
 Indonesia ,69.0,35.0,4.0,3.0,5.0,60.0,0.0,0.3
 Poland ,68.0,17.0,1.0,0.0,0.0,67.0,3.0,1.8
 Philippines ,64.0,12.0,5.0,0.0,2.0,57.0,1.0,0.6
 Saudi Arabia ,62.0,17.0,0.0,0.0,1.0,61.0,0.0,1.8
 Taiwan ,50.0,1.0,1.0,0.0,20.0,29.0,0.0,2.1
 Russia ,45.0,11.0,0.0,0.0,8.0,37.0,0.0,0.3
 Vietnam ,44.0,0.0,0.0,0.0,16.0,28.0,0.0,0.5
 Chile ,43.0,10.0,0.0,0.0,0.0,43.0,0.0,2.2
 Brunei ,37.0,12.0,0.0,0.0,0.0,37.0,0.0,0.0
 Serbia ,35.0,11.0,0.0,0.0,0.0,35.0,1.0,4.0
 Palestine ,35.0,4.0,0.0,0.0,0.0,35.0,0.0,6.9
 Luxembourg ,34.0,8.0,0.0,0.0,0.0,34.0,1.0,0.0
 Albania ,33.0,10.0,1.0,0.0,0.0,32.0,0.0,11.5
 Argentina ,31.0,0.0,2.0,1.0,0.0,29.0,1.0,0.7
 Croatia ,31.0,4.0,0.0,0.0,1.0,30.0,0.0,7.6
 Slovakia ,30.0,9.0,0.0,0.0,0.0,30.0,0.0,5.5
 Pakistan ,28.0,7.0,0.0,0.0,2.0,26.0,0.0,0.1
 Peru ,28.0,6.0,0.0,0.0,0.0,28.0,0.0,0.8
 Panama ,27.0,13.0,1.0,0.0,0.0,26.0,0.0,6.3
 Belarus ,27.0,6.0,0.0,0.0,3.0,24.0,0.0,2.9
 Algeria ,26.0,0.0,2.0,0.0,10.0,14.0,0.0,0.6
 Georgia ,25.0,0.0,0.0,0.0,0.0,25.0,1.0,6.3
 South Africa ,24.0,8.0,0.0,0.0,0.0,24.0,0.0,0.4
 Bulgaria ,23.0,0.0,1.0,0.0,0.0,22.0,0.0,3.3
 Costa Rica ,23.0,0.0,0.0,0.0,0.0,23.0,1.0,4.5
 Ecuador ,19.0,2.0,0.0,0.0,0.0,19.0,1.0,1.1
 Oman ,19.0,1.0,0.0,0.0,9.0,10.0,0.0,3.7
 Hungary ,19.0,3.0,0.0,0.0,0.0,19.0,0.0,2.0
 Bosnia and Herzegovina ,18.0,7.0,0.0,0.0,0.0,18.0,0.0,5.5
 Latvia ,17.0,1.0,0.0,0.0,1.0,16.0,0.0,9.0
 Tunisia ,16.0,3.0,0.0,0.0,0.0,16.0,2.0,1.4
