Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,237877.0,22874.0,5715.0,613.0,10324.0,221838.0,5421.0,719.0,17.0
Italy,115242.0,4668.0,13915.0,760.0,18278.0,83049.0,4053.0,1906.0,230.0
Spain,110238.0,6120.0,10096.0,709.0,26743.0,73399.0,6092.0,2358.0,216.0
Germany,84600.0,6619.0,1097.0,166.0,21400.0,62103.0,3936.0,1010.0,13.0
France,59105.0,2116.0,4503.0,471.0,12428.0,42174.0,6399.0,905.0,69.0
Iran,50468.0,2875.0,3160.0,124.0,16711.0,30597.0,3956.0,601.0,38.0
UK,33718.0,4244.0,2921.0,569.0,135.0,30662.0,163.0,497.0,43.0
Switzerland,18827.0,1059.0,536.0,48.0,4013.0,14278.0,348.0,2175.0,62.0
Turkey,18135.0,2456.0,356.0,79.0,415.0,17364.0,1101.0,215.0,4.0
Belgium,15348.0,1384.0,1011.0,183.0,2495.0,11842.0,1144.0,1324.0,87.0
Netherlands,14697.0,1083.0,1339.0,166.0,250.0,13108.0,1053.0,858.0,78.0
Canada,11118.0,1387.0,134.0,20.0,1906.0,9078.0,120.0,295.0,4.0
Austria,11108.0,397.0,158.0,12.0,1749.0,9201.0,227.0,1233.0,18.0
S. Korea,9976.0,89.0,169.0,4.0,5828.0,3979.0,55.0,195.0,3.0
Portugal,9034.0,783.0,209.0,22.0,68.0,8757.0,230.0,886.0,20.0
Brazil,7910.0,1030.0,299.0,57.0,127.0,7484.0,296.0,37.0,1.0
Israel,6857.0,765.0,34.0,8.0,338.0,6485.0,107.0,792.0,4.0
Sweden,5568.0,621.0,308.0,69.0,103.0,5157.0,429.0,551.0,30.0
Australia,5139.0,91.0,27.0,4.0,345.0,4767.0,50.0,202.0,1.0
Norway,5136.0,259.0,50.0,6.0,32.0,5054.0,96.0,947.0,9.0
Ireland,3849.0,402.0,98.0,13.0,5.0,3746.0,109.0,779.0,20.0
Czechia,3805.0,216.0,44.0,5.0,67.0,3694.0,72.0,355.0,4.0
Russia,3548.0,771.0,30.0,6.0,235.0,3283.0,8.0,24.0,0.2
Chile,3404.0,373.0,18.0,2.0,335.0,3051.0,31.0,178.0,0.9
Denmark,3386.0,279.0,123.0,19.0,1089.0,2174.0,153.0,585.0,21.0
Ecuador,3163.0,405.0,120.0,22.0,58.0,2985.0,100.0,179.0,7.0
Malaysia,3116.0,208.0,50.0,5.0,767.0,2299.0,105.0,96.0,2.0
Romania,2738.0,278.0,114.0,22.0,267.0,2357.0,78.0,142.0,6.0
Poland,2692.0,138.0,51.0,8.0,56.0,2585.0,50.0,71.0,1.0
Philippines,2633.0,322.0,107.0,11.0,51.0,2475.0,1.0,24.0,1.0
India,2536.0,538.0,72.0,14.0,189.0,2275.0,0.0,2.0,0.05
Luxembourg,2487.0,168.0,30.0,1.0,80.0,2377.0,31.0,3973.0,48.0
Pakistan,2386.0,268.0,33.0,6.0,107.0,2246.0,9.0,11.0,0.1
Japan,2384.0,0.0,57.0,0.0,472.0,1855.0,69.0,19.0,0.5
Saudi Arabia,1885.0,165.0,21.0,5.0,328.0,1536.0,31.0,54.0,0.6
Thailand,1875.0,104.0,15.0,3.0,505.0,1355.0,23.0,27.0,0.2
Indonesia,1790.0,113.0,170.0,13.0,112.0,1508.0,0.0,7.0,0.6
Greece,1544.0,129.0,53.0,2.0,61.0,1430.0,91.0,148.0,5.0
Finland,1518.0,72.0,19.0,2.0,300.0,1199.0,65.0,274.0,3.0
South Africa,1462.0,82.0,5.0,0.0,50.0,1407.0,7.0,25.0,0.08
Peru,1414.0,91.0,47.0,9.0,537.0,830.0,49.0,43.0,1.0
Dominican Republic,1380.0,96.0,60.0,3.0,16.0,1304.0,147.0,127.0,6.0
Mexico,1378.0,163.0,37.0,8.0,35.0,1306.0,1.0,11.0,0.3
Iceland,1319.0,99.0,4.0,2.0,284.0,1031.0,12.0,3865.0,12.0
Panama,1317.0,0.0,32.0,0.0,9.0,1276.0,50.0,305.0,7.0
Serbia,1171.0,111.0,31.0,3.0,42.0,1098.0,81.0,134.0,4.0
Colombia,1161.0,96.0,19.0,2.0,55.0,1087.0,50.0,23.0,0.4
Argentina,1133.0,0.0,34.0,2.0,256.0,843.0,0.0,25.0,0.8
Singapore,1049.0,49.0,4.0,1.0,266.0,779.0,24.0,179.0,0.7
UAE,1024.0,210.0,8.0,0.0,96.0,920.0,2.0,104.0,0.8
Croatia,1011.0,48.0,7.0,1.0,88.0,916.0,34.0,246.0,2.0
Algeria,986.0,139.0,86.0,28.0,61.0,839.0,0.0,22.0,2.0
Qatar,949.0,114.0,3.0,1.0,72.0,874.0,37.0,329.0,1.0
Ukraine,897.0,103.0,22.0,2.0,19.0,856.0,0.0,21.0,0.5
