Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,139904.0,16326.0,2449.0,229.0,4435.0,133020.0,2948.0,423.0,7.0
Italy,97689.0,5217.0,10779.0,756.0,13030.0,73880.0,3906.0,1616.0,178.0
Spain,80031.0,6796.0,6802.0,820.0,14709.0,58520.0,4165.0,1712.0,145.0
Germany,62095.0,4400.0,525.0,92.0,9211.0,52359.0,1979.0,741.0,6.0
France,40174.0,2599.0,2606.0,292.0,7202.0,30366.0,4632.0,615.0,40.0
Iran,38309.0,2901.0,2640.0,123.0,12391.0,23278.0,3206.0,456.0,31.0
UK,19522.0,2433.0,1228.0,209.0,135.0,18159.0,163.0,288.0,18.0
Switzerland,14829.0,753.0,300.0,36.0,1595.0,12934.0,301.0,1713.0,35.0
Netherlands,10866.0,1104.0,771.0,132.0,250.0,9845.0,972.0,634.0,45.0
Belgium,10836.0,1702.0,431.0,78.0,1359.0,9046.0,867.0,935.0,37.0
S. Korea,9583.0,105.0,152.0,8.0,5033.0,4398.0,59.0,187.0,3.0
Turkey,9217.0,1815.0,131.0,23.0,105.0,8981.0,568.0,109.0,2.0
Austria,8774.0,503.0,86.0,18.0,479.0,8209.0,187.0,974.0,10.0
Canada,6280.0,625.0,63.0,3.0,508.0,5709.0,120.0,166.0,2.0
Portugal,5962.0,792.0,119.0,19.0,43.0,5800.0,89.0,585.0,12.0
Norway,4271.0,256.0,25.0,2.0,7.0,4239.0,91.0,788.0,5.0
Brazil,4256.0,352.0,136.0,22.0,6.0,4114.0,296.0,20.0,0.6
Israel,4247.0,628.0,15.0,3.0,132.0,4100.0,74.0,491.0,2.0
Australia,3980.0,345.0,16.0,2.0,226.0,3738.0,23.0,156.0,0.6
Sweden,3700.0,253.0,110.0,5.0,16.0,3574.0,255.0,366.0,11.0
Czechia,2775.0,144.0,16.0,5.0,11.0,2748.0,45.0,259.0,1.0
Ireland,2615.0,200.0,46.0,10.0,5.0,2564.0,59.0,530.0,9.0
Malaysia,2470.0,150.0,35.0,8.0,388.0,2047.0,73.0,76.0,1.0
Denmark,2395.0,194.0,72.0,7.0,1.0,2322.0,113.0,413.0,12.0
Chile,2139.0,230.0,7.0,1.0,75.0,2057.0,7.0,112.0,0.4
Luxembourg,1950.0,119.0,21.0,3.0,40.0,1889.0,25.0,3115.0,34.0
Ecuador,1890.0,67.0,57.0,9.0,3.0,1830.0,58.0,107.0,3.0
Japan,1866.0,173.0,54.0,2.0,424.0,1388.0,56.0,15.0,0.4
Poland,1862.0,224.0,22.0,4.0,7.0,1833.0,3.0,49.0,0.6
Romania,1815.0,363.0,43.0,6.0,206.0,1566.0,31.0,94.0,2.0
Pakistan,1597.0,102.0,14.0,2.0,29.0,1554.0,11.0,7.0,0.06
Russia,1534.0,270.0,8.0,4.0,64.0,1462.0,8.0,11.0,0.05
Philippines,1418.0,343.0,71.0,3.0,42.0,1305.0,1.0,13.0,0.6
Thailand,1388.0,143.0,7.0,1.0,97.0,1284.0,11.0,20.0,0.1
Saudi Arabia,1299.0,96.0,8.0,4.0,66.0,1225.0,12.0,37.0,0.2
Indonesia,1285.0,130.0,114.0,12.0,64.0,1107.0,0.0,5.0,0.4
South Africa,1280.0,93.0,2.0,1.0,31.0,1247.0,7.0,22.0,0.03
Finland,1240.0,73.0,11.0,2.0,10.0,1219.0,32.0,224.0,2.0
Greece,1156.0,95.0,38.0,6.0,52.0,1066.0,66.0,111.0,4.0
India,1024.0,37.0,27.0,3.0,95.0,902.0,0.0,0.7,0.02
Iceland,1020.0,57.0,2.0,0.0,135.0,883.0,25.0,2989.0,6.0
Panama,901.0,0.0,17.0,0.0,4.0,880.0,32.0,209.0,4.0
Dominican Republic,859.0,140.0,39.0,11.0,3.0,817.0,0.0,79.0,4.0
