Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,1512971.0,16206.0,90905.0,918.0,325694.0,1096372.0,17636.0,0.0,0.0,0.0,0.0
Europe,1652702.0,24126.0,153875.0,1135.0,670131.0,828696.0,13882.0,0.0,0.0,0.0,0.0
South America,313673.0,3653.0,16573.0,189.0,110275.0,186825.0,10155.0,0.0,0.0,0.0,0.0
Asia,683602.0,14869.0,22451.0,262.0,382130.0,279021.0,5006.0,0.0,0.0,0.0,0.0
Africa,66949.0,2206.0,2330.0,29.0,23657.0,40962.0,224.0,0.0,0.0,0.0,0.0
Oceania,8549.0,10.0,118.0,0.0,7661.0,770.0,19.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0
World,4239167.0,61070.0,286267.0,2533.0,1520199.0,2432701.0,46926.0,544.0,36.7,0.0,0.0
USA,1380443.0,12805.0,81455.0,668.0,259073.0,1039915.0,16465.0,4170.0,246.0,9670031.0,29214.0
Spain,268143.0,3480.0,26744.0,123.0,177846.0,63553.0,1650.0,5735.0,572.0,2467761.0,52781.0
UK,223060.0,3877.0,32065.0,210.0,0.0,190651.0,1559.0,3286.0,472.0,1921770.0,28309.0
Russia,221344.0,11656.0,2009.0,94.0,39801.0,179534.0,2300.0,1517.0,14.0,5636763.0,38625.0
Italy,219814.0,744.0,30739.0,179.0,106587.0,82488.0,999.0,3636.0,508.0,2606652.0,43112.0
France,177423.0,453.0,26643.0,263.0,56724.0,94056.0,2712.0,2718.0,408.0,1384633.0,21213.0
Germany,172295.0,416.0,7611.0,42.0,145600.0,19084.0,1576.0,2056.0,91.0,2755770.0,32891.0
Brazil,163510.0,811.0,11207.0,84.0,64957.0,87346.0,8318.0,769.0,53.0,339552.0,1597.0
Turkey,139771.0,1114.0,3841.0,55.0,95780.0,40150.0,1126.0,1657.0,46.0,1403320.0,16639.0
Iran,109286.0,1683.0,6685.0,45.0,87422.0,15179.0,2703.0,1301.0,80.0,601324.0,7159.0
India,70768.0,3607.0,2294.0,82.0,22549.0,45925.0,0.0,51.0,2.0,1673688.0,1213.0
Canada,69907.0,1059.0,4992.0,122.0,32650.0,32265.0,502.0,1852.0,132.0,1135984.0,30099.0
Peru,68822.0,1515.0,1961.0,72.0,22406.0,44455.0,785.0,2087.0,59.0,512869.0,15555.0
Belgium,53449.0,368.0,8707.0,51.0,13697.0,31045.0,478.0,4612.0,751.0,584707.0,50451.0
Netherlands,42788.0,161.0,5456.0,16.0,0.0,37082.0,498.0,2497.0,318.0,265156.0,15475.0
Saudi Arabia,41014.0,1966.0,255.0,9.0,12737.0,28022.0,143.0,1178.0,7.0,467369.0,13425.0
Mexico,35022.0,1562.0,3465.0,112.0,23100.0,8457.0,378.0,272.0,27.0,130956.0,1016.0
Pakistan,30941.0,607.0,667.0,8.0,8212.0,22062.0,111.0,140.0,3.0,294894.0,1335.0
Switzerland,30344.0,39.0,1845.0,12.0,26600.0,1899.0,89.0,3506.0,213.0,312813.0,36144.0
Chile,30063.0,1197.0,323.0,11.0,13605.0,16135.0,574.0,1573.0,17.0,294057.0,15383.0
Ecuador,29509.0,0.0,2145.0,18.0,3433.0,23931.0,181.0,1673.0,122.0,84287.0,4777.0
Portugal,27679.0,98.0,1144.0,9.0,2549.0,23986.0,112.0,2715.0,112.0,517660.0,50767.0
Sweden,26670.0,348.0,3256.0,31.0,4971.0,18443.0,360.0,2641.0,322.0,148500.0,14704.0
Belarus,23906.0,933.0,135.0,4.0,6531.0,17240.0,92.0,2530.0,14.0,274060.0,29003.0
