Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
Asia,603065.0,15873.0,20806.0,357.0,327107.0,255152.0,5232.0,0.0,0.0,0.0,0.0
North America,1375901.0,28699.0,82427.0,2981.0,263425.0,1030049.0,17016.0,0.0,0.0,0.0,0.0
Europe,1524904.0,30931.0,146631.0,2529.0,594063.0,784210.0,15843.0,0.0,0.0,0.0,0.0
South America,251611.0,17247.0,12825.0,844.0,88342.0,150444.0,9960.0,0.0,0.0,0.0,0.0
Africa,52713.0,2547.0,2015.0,98.0,18286.0,32412.0,128.0,0.0,0.0,0.0,0.0
Oceania,8467.0,28.0,118.0,2.0,7393.0,956.0,31.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,645.0,61.0,4.0,0.0,0.0,0.0,0.0
World,3817382.0,95325.0,264837.0,6811.0,1299261.0,2253284.0,48214.0,490.0,34.0,0.0,0.0
China,82883.0,2.0,4633.0,0.0,77911.0,339.0,26.0,58.0,3.0,0.0,0.0
USA,1263092.0,25459.0,74799.0,2528.0,212981.0,975312.0,15827.0,3816.0,226.0,8005435.0,24185.0
Spain,253682.0,3121.0,25857.0,244.0,159359.0,68466.0,2075.0,5426.0,553.0,1932455.0,41332.0
Italy,214457.0,1444.0,29684.0,369.0,93245.0,91528.0,1333.0,3547.0,491.0,2310929.0,38221.0
UK,201101.0,6111.0,30076.0,649.0,0.0,170681.0,1559.0,2962.0,443.0,1448010.0,21330.0
France,174191.0,3640.0,25809.0,278.0,53972.0,94410.0,3147.0,2669.0,395.0,1100228.0,16856.0
Germany,168162.0,1155.0,7275.0,282.0,137696.0,23191.0,1884.0,2007.0,87.0,2755770.0,32891.0
Russia,165929.0,10559.0,1537.0,86.0,21327.0,143065.0,2300.0,1137.0,11.0,4633731.0,31752.0
Turkey,131744.0,2253.0,3584.0,64.0,78202.0,49958.0,1278.0,1562.0,42.0,1234724.0,14640.0
Brazil,126611.0,11896.0,8588.0,667.0,51370.0,66653.0,8318.0,596.0,40.0,339552.0,1597.0
