Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
 China ,80880.0,36.0,3213.0,14.0,67819.0,9848.0,3226.0,56.2
 Italy ,24747.0,0.0,1809.0,0.0,2335.0,20603.0,1672.0,409.3
 Iran ,14991.0,1053.0,853.0,129.0,4590.0,9548.0,0.0,178.5
 Spain ,9191.0,1203.0,309.0,15.0,530.0,8352.0,272.0,196.6
 S. Korea ,8236.0,74.0,75.0,0.0,1137.0,7024.0,59.0,160.6
 Germany ,6672.0,859.0,14.0,1.0,58.0,6600.0,2.0,79.6
 France ,5423.0,0.0,127.0,0.0,12.0,5284.0,400.0,83.1
 USA ,3837.0,157.0,70.0,2.0,73.0,3694.0,12.0,11.6
 Switzerland ,2221.0,4.0,18.0,4.0,4.0,2199.0,0.0,256.6
 UK ,1543.0,152.0,35.0,0.0,20.0,1488.0,20.0,22.7
 Netherlands ,1413.0,278.0,24.0,4.0,2.0,1387.0,45.0,82.5
 Norway ,1311.0,55.0,3.0,0.0,1.0,1307.0,27.0,241.8
 Sweden ,1103.0,63.0,6.0,3.0,1.0,1096.0,2.0,109.2
 Belgium ,1058.0,172.0,5.0,1.0,1.0,1052.0,33.0,91.3
 Austria ,1018.0,158.0,3.0,2.0,8.0,1007.0,12.0,113.0
 Denmark ,898.0,34.0,4.0,2.0,1.0,893.0,10.0,155.0
 Japan ,845.0,6.0,27.0,3.0,144.0,674.0,36.0,6.7
 Diamond Princess ,696.0,0.0,7.0,0.0,456.0,233.0,15.0,0.0
 Malaysia ,566.0,138.0,0.0,0.0,42.0,524.0,9.0,17.5
 Qatar ,439.0,38.0,0.0,0.0,4.0,435.0,0.0,152.4
 Australia ,375.0,75.0,5.0,0.0,27.0,343.0,1.0,14.7
 Canada ,341.0,0.0,1.0,0.0,11.0,329.0,1.0,9.0
 Greece ,331.0,0.0,4.0,0.0,8.0,319.0,5.0,31.8
 Portugal ,331.0,86.0,0.0,0.0,3.0,328.0,9.0,32.5
 Czechia ,298.0,5.0,0.0,0.0,0.0,298.0,2.0,27.8
 Finland ,278.0,34.0,0.0,0.0,10.0,268.0,1.0,50.2
 Israel ,255.0,42.0,0.0,0.0,4.0,251.0,4.0,29.5
 Slovenia ,253.0,34.0,1.0,0.0,0.0,252.0,3.0,121.7
 Singapore ,243.0,17.0,0.0,0.0,109.0,134.0,11.0,41.5
 Bahrain ,221.0,7.0,1.0,1.0,77.0,143.0,1.0,129.9
 Estonia ,205.0,34.0,0.0,0.0,1.0,204.0,0.0,154.5
 Brazil ,203.0,3.0,0.0,0.0,2.0,201.0,2.0,1.0
 Iceland ,180.0,0.0,0.0,0.0,0.0,180.0,1.0,0.0
 Ireland ,170.0,0.0,2.0,0.0,5.0,163.0,6.0,34.4
 Romania ,158.0,19.0,0.0,0.0,9.0,149.0,1.0,8.2
 Poland ,156.0,31.0,3.0,0.0,0.0,153.0,3.0,4.1
 Hong Kong ,155.0,6.0,4.0,0.0,81.0,70.0,4.0,20.7
 Chile ,155.0,80.0,0.0,0.0,0.0,155.0,0.0,8.1
 Thailand ,147.0,33.0,1.0,0.0,35.0,111.0,1.0,2.1
 Philippines ,142.0,2.0,12.0,0.0,5.0,125.0,1.0,1.3
 Pakistan ,136.0,83.0,0.0,0.0,2.0,134.0,0.0,0.6
 Indonesia ,134.0,17.0,5.0,0.0,8.0,121.0,0.0,0.5
 India ,129.0,15.0,2.0,0.0,13.0,114.0,0.0,0.1
 Egypt ,126.0,0.0,2.0,0.0,32.0,92.0,0.0,1.2
 Iraq ,124.0,0.0,10.0,0.0,26.0,88.0,0.0,3.1
 Kuwait ,123.0,11.0,0.0,0.0,9.0,114.0,4.0,28.8
 Saudi Arabia ,118.0,0.0,0.0,0.0,6.0,112.0,0.0,3.4
 San Marino ,109.0,0.0,7.0,0.0,4.0,98.0,11.0,0.0
 Lebanon ,109.0,0.0,3.0,0.0,1.0,105.0,3.0,16.0
 UAE ,98.0,0.0,0.0,0.0,23.0,75.0,2.0,9.9
 Russia ,93.0,30.0,0.0,0.0,8.0,85.0,0.0,0.6
 Peru ,86.0,15.0,0.0,0.0,1.0,85.0,8.0,2.6
 Luxembourg ,81.0,4.0,1.0,0.0,0.0,80.0,10.0,0.0
 Taiwan ,67.0,8.0,1.0,0.0,20.0,46.0,0.0,2.8
 South Africa ,64.0,3.0,0.0,0.0,0.0,64.0,0.0,1.1
 Slovakia ,63.0,2.0,0.0,0.0,0.0,63.0,0.0,11.5
 Bulgaria ,62.0,11.0,2.0,0.0,0.0,60.0,0.0,8.9
 Vietnam ,61.0,4.0,0.0,0.0,16.0,45.0,0.0,0.6
 Croatia ,57.0,8.0,0.0,0.0,3.0,54.0,0.0,13.9
 Argentina ,56.0,0.0,2.0,0.0,3.0,51.0,1.0,1.2
 Panama ,55.0,0.0,1.0,0.0,0.0,54.0,0.0,12.7
 Serbia ,55.0,7.0,0.0,0.0,1.0,54.0,2.0,6.3
 Algeria ,54.0,0.0,4.0,0.0,10.0,40.0,0.0,1.2
 Brunei ,54.0,4.0,0.0,0.0,0.0,54.0,1.0,0.0
 Colombia ,54.0,20.0,0.0,0.0,1.0,53.0,0.0,1.1
 Mexico ,53.0,10.0,0.0,0.0,4.0,49.0,1.0,0.4
 Albania ,51.0,9.0,1.0,0.0,0.0,50.0,2.0,17.7
 Hungary ,39.0,7.0,1.0,0.0,1.0,37.0,0.0,4.0
 Palestine ,39.0,1.0,0.0,0.0,0.0,39.0,0.0,7.6
 Ecuador ,37.0,0.0,2.0,0.0,0.0,35.0,1.0,2.1
 Belarus ,36.0,9.0,0.0,0.0,3.0,33.0,0.0,3.8
 Costa Rica ,35.0,0.0,0.0,0.0,0.0,35.0,3.0,6.9
 Latvia ,34.0,4.0,0.0,0.0,1.0,33.0,0.0,18.0
 Georgia ,33.0,0.0,0.0,0.0,1.0,32.0,1.0,8.3
 Cyprus ,33.0,0.0,0.0,0.0,0.0,33.0,1.0,27.3
 Armenia ,30.0,2.0,0.0,0.0,1.0,29.0,2.0,10.1
 Malta ,30.0,9.0,0.0,0.0,2.0,28.0,0.0,0.0
 Morocco ,29.0,1.0,1.0,0.0,1.0,27.0,1.0,0.8
 Sri Lanka ,28.0,10.0,0.0,0.0,1.0,27.0,0.0,1.3
 Azerbaijan ,25.0,2.0,1.0,0.0,6.0,18.0,0.0,2.5
 Senegal ,24.0,0.0,0.0,0.0,2.0,22.0,0.0,1.4
 Bosnia and Herzegovina ,24.0,0.0,0.0,0.0,0.0,24.0,0.0,7.3
 Moldova ,23.0,0.0,0.0,0.0,0.0,23.0,1.0,5.7
 Oman ,22.0,0.0,0.0,0.0,9.0,13.0,0.0,4.3
 Afghanistan ,21.0,5.0,0.0,0.0,1.0,20.0,0.0,0.5
 Tunisia ,20.0,0.0,0.0,0.0,0.0,20.0,2.0,1.7
 North Macedonia ,19.0,0.0,0.0,0.0,1.0,18.0,0.0,9.1
 Jordan ,18.0,6.0,0.0,0.0,1.0,17.0,0.0,1.8
 Faeroe Islands ,18.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0
 Turkey ,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.2
 Lithuania ,17.0,3.0,0.0,0.0,1.0,16.0,0.0,6.2
 Venezuela ,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.6
 Burkina Faso ,15.0,12.0,0.0,0.0,0.0,15.0,0.0,0.7
 Jamaica ,15.0,5.0,0.0,0.0,2.0,13.0,0.0,5.1
 Martinique ,15.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0
 Maldives ,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
 Cambodia ,12.0,0.0,0.0,0.0,1.0,11.0,0.0,0.7
 Macao ,11.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
 Dominican Republic ,11.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
 Bolivia ,11.0,1.0,0.0,0.0,0.0,11.0,0.0,0.9
 French Guiana ,11.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0
