Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
China,80928.0,34.0,3245.0,8.0,70420.0,7263.0,2274.0,56.0
Italy,41035.0,5322.0,3405.0,427.0,4440.0,33190.0,2498.0,679.0
Iran,18407.0,1046.0,1284.0,149.0,5979.0,11144.0,0.0,219.0
Spain,17963.0,3194.0,830.0,192.0,1107.0,16026.0,800.0,384.0
Germany,15320.0,2993.0,44.0,16.0,115.0,15161.0,2.0,183.0
USA,11689.0,2430.0,174.0,24.0,108.0,11407.0,64.0,35.0
France,10995.0,1861.0,372.0,108.0,602.0,10021.0,931.0,168.0
S. Korea,8565.0,152.0,91.0,7.0,1947.0,6527.0,59.0,167.0
Switzerland,3944.0,829.0,41.0,8.0,15.0,3888.0,0.0,456.0
UK,3269.0,643.0,144.0,40.0,65.0,3060.0,20.0,48.0
Netherlands,2460.0,409.0,76.0,18.0,2.0,2382.0,45.0,144.0
Austria,2157.0,511.0,6.0,2.0,9.0,2142.0,13.0,239.0
Belgium,1795.0,309.0,21.0,7.0,165.0,1609.0,130.0,155.0
Norway,1773.0,182.0,7.0,1.0,1.0,1765.0,27.0,327.0
Sweden,1439.0,138.0,11.0,1.0,16.0,1412.0,21.0,142.0
Denmark,1151.0,94.0,6.0,2.0,1.0,1144.0,30.0,199.0
Japan,923.0,9.0,32.0,3.0,191.0,700.0,46.0,7.0
Malaysia,900.0,110.0,2.0,0.0,75.0,823.0,15.0,28.0
Canada,801.0,74.0,10.0,1.0,11.0,780.0,1.0,21.0
Portugal,785.0,143.0,4.0,2.0,4.0,777.0,20.0,77.0
Diamond Princess,712.0,0.0,7.0,0.0,527.0,178.0,14.0,0.0
Australia,709.0,113.0,6.0,0.0,46.0,657.0,1.0,28.0
Czechia,694.0,172.0,0.0,0.0,3.0,691.0,6.0,65.0
Brazil,609.0,80.0,7.0,3.0,2.0,600.0,18.0,3.0
Israel,573.0,140.0,0.0,0.0,14.0,559.0,6.0,66.0
Ireland,557.0,191.0,3.0,1.0,5.0,549.0,6.0,113.0
Greece,464.0,46.0,6.0,1.0,19.0,439.0,16.0,45.0
Qatar,460.0,8.0,0.0,0.0,10.0,450.0,6.0,160.0
Pakistan,454.0,147.0,2.0,0.0,13.0,439.0,0.0,2.0
Finland,400.0,41.0,0.0,0.0,10.0,390.0,2.0,72.0
Poland,355.0,68.0,5.0,0.0,13.0,337.0,3.0,9.0
Singapore,345.0,32.0,0.0,0.0,124.0,221.0,14.0,59.0
Chile,342.0,104.0,0.0,0.0,0.0,342.0,6.0,18.0
Luxembourg,335.0,132.0,4.0,2.0,6.0,325.0,1.0,535.0
Iceland,330.0,80.0,0.0,0.0,5.0,325.0,1.0,967.0
Slovenia,319.0,33.0,1.0,0.0,0.0,318.0,6.0,153.0
Indonesia,308.0,81.0,25.0,6.0,15.0,268.0,0.0,1.0
Bahrain,277.0,21.0,1.0,0.0,100.0,176.0,4.0,163.0
Romania,277.0,17.0,0.0,0.0,25.0,252.0,5.0,14.0
Saudi Arabia,274.0,36.0,0.0,0.0,8.0,266.0,0.0,8.0
Thailand,272.0,60.0,1.0,0.0,42.0,229.0,1.0,4.0
Estonia,267.0,9.0,0.0,0.0,1.0,266.0,1.0,201.0
Egypt,256.0,46.0,7.0,1.0,28.0,221.0,0.0,3.0
Peru,234.0,89.0,0.0,0.0,1.0,233.0,7.0,7.0
Philippines,217.0,15.0,17.0,0.0,8.0,192.0,1.0,2.0
Hong Kong,208.0,15.0,4.0,0.0,98.0,106.0,4.0,28.0
Ecuador,199.0,31.0,3.0,0.0,1.0,195.0,2.0,11.0
Russia,199.0,52.0,1.0,1.0,8.0,190.0,0.0,1.0
India,194.0,25.0,4.0,1.0,20.0,170.0,0.0,0.1
Iraq,192.0,28.0,13.0,1.0,49.0,130.0,0.0,5.0
Turkey,192.0,1.0,3.0,1.0,0.0,189.0,0.0,2.0
Lebanon,157.0,24.0,4.0,0.0,4.0,149.0,3.0,23.0
South Africa,150.0,34.0,0.0,0.0,0.0,150.0,0.0,3.0
Kuwait,148.0,6.0,0.0,0.0,18.0,130.0,5.0,35.0
San Marino,140.0,0.0,14.0,0.0,4.0,122.0,11.0,4126.0
UAE,140.0,27.0,0.0,0.0,31.0,109.0,2.0,14.0
Slovakia,124.0,19.0,0.0,0.0,0.0,124.0,2.0,23.0
Armenia,122.0,12.0,0.0,0.0,1.0,121.0,2.0,41.0
Mexico,118.0,25.0,1.0,1.0,4.0,113.0,1.0,0.9
Croatia,110.0,21.0,1.0,1.0,5.0,104.0,0.0,27.0
Panama,109.0,0.0,1.0,0.0,0.0,108.0,7.0,25.0
Taiwan,108.0,8.0,1.0,0.0,26.0,81.0,0.0,5.0
Colombia,108.0,15.0,0.0,0.0,1.0,107.0,0.0,2.0
Bulgaria,107.0,15.0,3.0,1.0,0.0,104.0,0.0,15.0
Serbia,103.0,14.0,0.0,0.0,1.0,102.0,4.0,12.0
Argentina,97.0,0.0,3.0,1.0,3.0,91.0,0.0,2.0
Algeria,90.0,15.0,9.0,2.0,32.0,49.0,0.0,2.0
Costa Rica,87.0,18.0,1.0,0.0,0.0,86.0,2.0,17.0
Latvia,86.0,15.0,0.0,0.0,1.0,85.0,0.0,46.0
Vietnam,85.0,9.0,0.0,0.0,16.0,69.0,0.0,0.9
Uruguay,79.0,0.0,0.0,0.0,0.0,79.0,0.0,23.0
Andorra,74.0,21.0,0.0,0.0,1.0,73.0,0.0,958.0
Hungary,73.0,15.0,1.0,0.0,2.0,70.0,4.0,8.0
Brunei ,73.0,5.0,0.0,0.0,0.0,73.0,2.0,167.0
Faeroe Islands,72.0,14.0,0.0,0.0,1.0,71.0,0.0,1474.0
Jordan,69.0,13.0,0.0,0.0,1.0,68.0,0.0,7.0
Cyprus,67.0,9.0,0.0,0.0,0.0,67.0,1.0,55.0
Albania,64.0,5.0,2.0,0.0,0.0,62.0,2.0,22.0
