Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
China,81008.0,41.0,3255.0,7.0,71740.0,6013.0,1927.0,56.0
Italy,47021.0,5986.0,4032.0,627.0,5129.0,37860.0,2655.0,778.0
Spain,21510.0,3433.0,1093.0,262.0,1588.0,18829.0,939.0,460.0
Germany,19848.0,4528.0,68.0,24.0,180.0,19600.0,2.0,237.0
Iran,19644.0,1237.0,1433.0,149.0,6745.0,11466.0,0.0,234.0
USA,19498.0,5709.0,261.0,54.0,147.0,19090.0,64.0,59.0
France,12612.0,1617.0,450.0,78.0,1587.0,10575.0,1297.0,193.0
S. Korea,8652.0,87.0,94.0,3.0,2233.0,6325.0,59.0,169.0
Switzerland,5615.0,1393.0,56.0,13.0,15.0,5544.0,0.0,649.0
UK,3983.0,714.0,177.0,33.0,65.0,3741.0,20.0,59.0
Netherlands,2994.0,534.0,106.0,30.0,2.0,2886.0,210.0,175.0
Austria,2649.0,470.0,6.0,0.0,9.0,2634.0,14.0,294.0
Belgium,2257.0,462.0,37.0,16.0,204.0,2016.0,164.0,195.0
Norway,1957.0,167.0,7.0,0.0,1.0,1949.0,27.0,361.0
Sweden,1639.0,200.0,16.0,5.0,16.0,1607.0,21.0,162.0
Denmark,1255.0,104.0,9.0,3.0,1.0,1245.0,37.0,217.0
Canada,1087.0,214.0,12.0,0.0,14.0,1061.0,1.0,29.0
Malaysia,1030.0,130.0,3.0,1.0,87.0,940.0,26.0,32.0
Portugal,1020.0,234.0,6.0,2.0,5.0,1009.0,26.0,100.0
Brazil,970.0,330.0,11.0,4.0,2.0,957.0,18.0,5.0
Japan,963.0,20.0,33.0,0.0,215.0,715.0,50.0,8.0
Australia,928.0,172.0,7.0,0.0,46.0,875.0,2.0,36.0
Czechia,833.0,139.0,0.0,0.0,4.0,829.0,6.0,78.0
Diamond Princess,712.0,0.0,8.0,1.0,527.0,177.0,14.0,0.0
Israel,705.0,28.0,1.0,1.0,15.0,689.0,10.0,81.0
Ireland,683.0,126.0,3.0,0.0,5.0,675.0,6.0,138.0
Turkey,670.0,311.0,9.0,5.0,0.0,661.0,0.0,8.0
Pakistan,501.0,47.0,3.0,1.0,13.0,485.0,0.0,2.0
Greece,495.0,31.0,10.0,4.0,19.0,466.0,20.0,47.0
Luxembourg,484.0,149.0,5.0,1.0,6.0,473.0,1.0,773.0
Qatar,470.0,10.0,0.0,0.0,10.0,460.0,6.0,163.0
Finland,450.0,50.0,0.0,0.0,10.0,440.0,2.0,81.0
