Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
China,81054.0,46.0,3261.0,6.0,72440.0,5353.0,1845.0,56.0
Italy,53578.0,0.0,4825.0,0.0,6072.0,42681.0,2857.0,886.0
Spain,28572.0,3076.0,1725.0,344.0,2125.0,24722.0,1785.0,611.0
USA,26905.0,2698.0,348.0,46.0,178.0,26379.0,708.0,81.0
Germany,23129.0,765.0,93.0,9.0,209.0,22827.0,2.0,276.0
Iran,21638.0,1028.0,1685.0,129.0,7635.0,12318.0,0.0,258.0
France,14459.0,0.0,562.0,0.0,1587.0,12310.0,1525.0,222.0
S. Korea,8897.0,98.0,104.0,2.0,2909.0,5884.0,59.0,174.0
Switzerland,7225.0,362.0,80.0,0.0,131.0,7014.0,141.0,835.0
UK,5018.0,0.0,240.0,7.0,93.0,4685.0,20.0,74.0
Netherlands,3631.0,0.0,136.0,0.0,2.0,3493.0,354.0,212.0
Belgium,3401.0,586.0,75.0,8.0,263.0,3063.0,288.0,293.0
Austria,3026.0,34.0,9.0,1.0,9.0,3008.0,15.0,336.0
Norway,2244.0,80.0,7.0,0.0,6.0,2231.0,28.0,414.0
Sweden,1770.0,0.0,21.0,1.0,16.0,1733.0,68.0,175.0
Portugal,1600.0,320.0,14.0,2.0,5.0,1581.0,26.0,157.0
Denmark,1395.0,69.0,13.0,0.0,1.0,1381.0,42.0,241.0
Canada,1331.0,3.0,20.0,1.0,14.0,1297.0,1.0,35.0
Malaysia,1306.0,123.0,10.0,2.0,114.0,1182.0,26.0,40.0
Australia,1286.0,214.0,7.0,0.0,46.0,1233.0,2.0,50.0
Brazil,1201.0,23.0,18.0,0.0,2.0,1181.0,18.0,6.0
Japan,1054.0,0.0,36.0,0.0,215.0,803.0,55.0,8.0
Czechia,1047.0,52.0,0.0,0.0,6.0,1041.0,7.0,98.0
Turkey,947.0,0.0,21.0,0.0,0.0,926.0,0.0,11.0
Israel,945.0,62.0,1.0,0.0,37.0,907.0,20.0,109.0
Luxembourg,798.0,128.0,8.0,0.0,6.0,784.0,3.0,1275.0
Ireland,785.0,0.0,3.0,0.0,5.0,777.0,13.0,159.0
Pakistan,730.0,85.0,3.0,0.0,13.0,714.0,0.0,3.0
Diamond Princess,712.0,0.0,8.0,0.0,567.0,137.0,15.0,0.0
Finland,626.0,103.0,1.0,0.0,10.0,615.0,2.0,113.0
Thailand,599.0,188.0,1.0,0.0,44.0,554.0,7.0,9.0
Iceland,568.0,95.0,1.0,0.0,5.0,562.0,1.0,1665.0
Poland,563.0,27.0,7.0,2.0,13.0,543.0,3.0,15.0
Chile,537.0,0.0,1.0,0.0,8.0,528.0,7.0,28.0
Ecuador,532.0,0.0,7.0,0.0,3.0,522.0,2.0,30.0
Greece,530.0,0.0,13.0,0.0,19.0,498.0,18.0,51.0
Indonesia,514.0,64.0,48.0,10.0,29.0,437.0,0.0,2.0
Qatar,481.0,0.0,0.0,0.0,27.0,454.0,6.0,167.0
Romania,433.0,66.0,2.0,2.0,64.0,367.0,14.0,23.0
Singapore,432.0,0.0,2.0,0.0,140.0,290.0,14.0,74.0
Saudi Arabia,392.0,0.0,0.0,0.0,16.0,376.0,0.0,11.0
Slovenia,383.0,0.0,1.0,0.0,0.0,382.0,12.0,184.0
Philippines,380.0,73.0,25.0,6.0,15.0,340.0,1.0,3.0
India,360.0,28.0,7.0,2.0,24.0,329.0,0.0,0.3
Bahrain,332.0,22.0,1.0,0.0,149.0,182.0,4.0,195.0
Estonia,326.0,20.0,0.0,0.0,4.0,322.0,2.0,246.0
Peru,318.0,0.0,5.0,0.0,1.0,312.0,5.0,10.0
Russia,306.0,0.0,1.0,0.0,16.0,289.0,0.0,2.0
Egypt,294.0,0.0,10.0,0.0,42.0,242.0,0.0,3.0
Hong Kong,274.0,0.0,4.0,0.0,100.0,170.0,4.0,37.0
Mexico,251.0,48.0,2.0,0.0,4.0,245.0,1.0,2.0
Lebanon,248.0,18.0,4.0,0.0,8.0,236.0,4.0,36.0
Panama,245.0,0.0,3.0,0.0,1.0,241.0,7.0,57.0
South Africa,240.0,0.0,0.0,0.0,2.0,238.0,0.0,4.0
Croatia,235.0,29.0,1.0,0.0,5.0,229.0,5.0,57.0
Iraq,233.0,19.0,20.0,3.0,57.0,156.0,0.0,6.0
Argentina,225.0,67.0,4.0,0.0,27.0,194.0,0.0,5.0
Colombia,210.0,14.0,1.0,1.0,3.0,206.0,0.0,4.0
Armenia,190.0,30.0,0.0,0.0,2.0,188.0,2.0,64.0
Serbia,188.0,17.0,1.0,0.0,2.0,185.0,4.0,22.0
Kuwait,188.0,12.0,0.0,0.0,27.0,161.0,5.0,44.0
Slovakia,178.0,0.0,0.0,0.0,7.0,171.0,2.0,33.0
San Marino,175.0,15.0,20.0,0.0,4.0,151.0,13.0,5158.0
Bulgaria,174.0,11.0,3.0,0.0,3.0,168.0,3.0,25.0
Taiwan,169.0,16.0,2.0,0.0,28.0,139.0,0.0,7.0
UAE,153.0,0.0,2.0,0.0,38.0,113.0,2.0,15.0
Algeria,139.0,0.0,15.0,0.0,65.0,59.0,0.0,3.0
Latvia,139.0,15.0,0.0,0.0,1.0,138.0,0.0,74.0
Uruguay,135.0,25.0,0.0,0.0,0.0,135.0,2.0,39.0
Hungary,131.0,28.0,6.0,2.0,16.0,109.0,6.0,14.0
Costa Rica,117.0,0.0,2.0,0.0,2.0,113.0,2.0,23.0
North Macedonia,114.0,29.0,0.0,0.0,1.0,113.0,1.0,55.0
Dominican Republic,112.0,0.0,3.0,0.0,0.0,109.0,0.0,10.0
Morocco,108.0,12.0,3.0,0.0,3.0,102.0,1.0,3.0
Lithuania,105.0,6.0,1.0,0.0,1.0,103.0,1.0,39.0
Jordan,100.0,0.0,0.0,0.0,1.0,99.0,0.0,10.0
Vietnam,99.0,5.0,0.0,0.0,17.0,82.0,2.0,1.0
Bosnia and Herzegovina,93.0,0.0,1.0,0.0,2.0,90.0,1.0,28.0
Faeroe Islands,92.0,0.0,0.0,0.0,3.0,89.0,0.0,1883.0
Albania,89.0,13.0,2.0,0.0,2.0,85.0,2.0,31.0
Andorra,88.0,0.0,1.0,1.0,1.0,86.0,2.0,1139.0
Cyprus,84.0,0.0,1.0,0.0,3.0,80.0,3.0,70.0
Brunei ,83.0,0.0,0.0,0.0,1.0,82.0,2.0,190.0
Sri Lanka,82.0,5.0,0.0,0.0,3.0,79.0,2.0,4.0
Moldova,80.0,0.0,1.0,0.0,1.0,78.0,3.0,20.0
Belarus,76.0,0.0,0.0,0.0,15.0,61.0,0.0,8.0
Tunisia,75.0,15.0,3.0,2.0,1.0,71.0,7.0,6.0
Malta,73.0,0.0,0.0,0.0,2.0,71.0,1.0,165.0
Venezuela,70.0,0.0,0.0,0.0,15.0,55.0,2.0,2.0
New Zealand,66.0,14.0,0.0,0.0,0.0,66.0,0.0,14.0
Burkina Faso,64.0,0.0,3.0,0.0,5.0,56.0,0.0,3.0
Palestine,59.0,6.0,0.0,0.0,17.0,42.0,0.0,12.0
Guadeloupe,56.0,0.0,1.0,0.0,0.0,55.0,4.0,140.0
Senegal,56.0,0.0,0.0,0.0,5.0,51.0,0.0,3.0
Oman,55.0,3.0,0.0,0.0,13.0,42.0,0.0,11.0
Georgia,54.0,5.0,0.0,0.0,1.0,53.0,1.0,14.0
Kazakhstan,54.0,0.0,0.0,0.0,0.0,54.0,0.0,3.0
Azerbaijan,53.0,0.0,1.0,0.0,11.0,41.0,0.0,5.0
Cambodia,53.0,0.0,0.0,0.0,2.0,51.0,0.0,3.0
Trinidad and Tobago,49.0,0.0,0.0,0.0,0.0,49.0,0.0,35.0
Ukraine,47.0,0.0,3.0,0.0,1.0,43.0,0.0,1.0
Réunion,47.0,0.0,0.0,0.0,0.0,47.0,0.0,52.0
Uzbekistan,42.0,1.0,0.0,0.0,0.0,42.0,0.0,1.0
Cameroon,40.0,0.0,0.0,0.0,2.0,38.0,0.0,2.0
Martinique,37.0,0.0,1.0,0.0,0.0,36.0,7.0,99.0
Liechtenstein,37.0,0.0,0.0,0.0,0.0,37.0,0.0,970.0
Afghanistan,34.0,10.0,0.0,0.0,1.0,33.0,0.0,0.9
Channel Islands,32.0,0.0,0.0,0.0,0.0,32.0,0.0,184.0
Bangladesh,27.0,3.0,2.0,0.0,3.0,22.0,0.0,0.2
Guam,27.0,12.0,1.0,1.0,0.0,26.0,0.0,160.0
Nigeria,26.0,4.0,0.0,0.0,1.0,25.0,0.0,0.1
Honduras,26.0,2.0,0.0,0.0,0.0,26.0,0.0,3.0
DRC,23.0,0.0,1.0,0.0,0.0,22.0,0.0,0.3
Puerto Rico,23.0,2.0,1.0,0.0,0.0,22.0,0.0,8.0
Paraguay,22.0,0.0,1.0,0.0,0.0,21.0,1.0,3.0
Cuba,21.0,0.0,1.0,0.0,0.0,20.0,0.0,2.0
Ghana,21.0,0.0,1.0,0.0,0.0,20.0,0.0,0.7
Macao,20.0,1.0,0.0,0.0,10.0,10.0,0.0,31.0
Jamaica,19.0,0.0,1.0,0.0,2.0,16.0,0.0,6.0
Bolivia,19.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0
Guyana,18.0,0.0,1.0,0.0,0.0,17.0,0.0,23.0
Mauritius,18.0,4.0,1.0,0.0,0.0,17.0,0.0,14.0
Monaco,18.0,0.0,0.0,0.0,1.0,17.0,0.0,459.0
French Guiana,18.0,0.0,0.0,0.0,0.0,18.0,0.0,60.0
Guatemala,17.0,0.0,1.0,0.0,0.0,16.0,0.0,0.9
Rwanda,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
Montenegro,16.0,0.0,0.0,0.0,0.0,16.0,0.0,25.0
Togo,16.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0
French Polynesia,15.0,0.0,0.0,0.0,0.0,15.0,0.0,53.0
Barbados,14.0,0.0,0.0,0.0,0.0,14.0,0.0,49.0
Ivory Coast,14.0,0.0,0.0,0.0,1.0,13.0,0.0,0.5
Kyrgyzstan,14.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0
Maldives,13.0,0.0,0.0,0.0,3.0,10.0,0.0,24.0
Tanzania,12.0,6.0,0.0,0.0,0.0,12.0,0.0,0.2
Ethiopia,11.0,2.0,0.0,0.0,0.0,11.0,0.0,0.1
Mayotte,11.0,0.0,0.0,0.0,0.0,11.0,0.0,40.0
Gibraltar,10.0,0.0,0.0,0.0,2.0,8.0,0.0,297.0
Mongolia,10.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0
Aruba,8.0,3.0,0.0,0.0,1.0,7.0,0.0,75.0
Kenya,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.1
Seychelles,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0
Equatorial Guinea,6.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
U.S. Virgin Islands,6.0,0.0,0.0,0.0,0.0,6.0,0.0,57.0
Gabon,5.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0
Isle of Man,5.0,3.0,0.0,0.0,0.0,5.0,0.0,59.0
Saint Martin,5.0,0.0,0.0,0.0,0.0,5.0,0.0,129.0
Suriname,5.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0
Bahamas,4.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0
New Caledonia,4.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0
Eswatini,4.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0
Cayman Islands,3.0,0.0,1.0,0.0,0.0,2.0,0.0,46.0
Curaçao,3.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0
Cabo Verde,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
CAR,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6
Congo,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5
El Salvador,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5
Liberia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6
