Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
Asia,263897.0,10588.0,9896.0,368.0,129009.0,124992.0,6454.0,0.0,0.0,0.0,0.0
North America,500220.0,35899.0,17666.0,2036.0,32290.0,450264.0,10966.0,0.0,0.0,0.0,0.0
Europe,778852.0,33936.0,65818.0,4552.0,185320.0,527714.0,30359.0,0.0,0.0,0.0,0.0
South America,39605.0,4143.0,1615.0,221.0,4115.0,33875.0,1129.0,0.0,0.0,0.0,0.0
Oceania,7477.0,129.0,52.0,1.0,3305.0,4120.0,85.0,0.0,0.0,0.0,0.0
Africa,12880.0,894.0,632.0,56.0,1694.0,10554.0,155.0,0.0,0.0,0.0,0.0
0,721.0,0.0,13.0,0.0,619.0,89.0,10.0,0.0,0.0,0.0,0.0
World,1603652.0,85589.0,95692.0,7234.0,356352.0,1151608.0,49158.0,206.0,12.3,0.0,0.0
China,81865.0,63.0,3335.0,2.0,77370.0,1160.0,176.0,57.0,2.0,0.0,0.0
USA,468566.0,33536.0,16691.0,1900.0,25928.0,425947.0,10011.0,1416.0,50.0,2353096.0,7109.0
Spain,153222.0,5002.0,15447.0,655.0,52165.0,85610.0,7371.0,3277.0,330.0,355000.0,7593.0
Italy,143626.0,4204.0,18279.0,610.0,28470.0,96877.0,3605.0,2375.0,302.0,853369.0,14114.0
Germany,118235.0,4939.0,2607.0,258.0,52407.0,63221.0,4895.0,1411.0,31.0,1317887.0,15730.0
France,117749.0,4799.0,12210.0,1341.0,23206.0,82333.0,7066.0,1804.0,187.0,333807.0,5114.0
Iran,66220.0,1634.0,4110.0,117.0,32309.0,29801.0,3918.0,788.0,49.0,231393.0,2755.0
UK,65077.0,4344.0,7978.0,881.0,135.0,56964.0,1559.0,959.0,118.0,298169.0,4392.0
Turkey,42282.0,4056.0,908.0,96.0,2142.0,39232.0,1552.0,501.0,11.0,276338.0,3277.0
Belgium,24983.0,1580.0,2523.0,283.0,5164.0,17296.0,1285.0,2156.0,218.0,84248.0,7269.0
Switzerland,24051.0,771.0,948.0,53.0,10600.0,12503.0,386.0,2779.0,110.0,178500.0,20625.0
Netherlands,21762.0,1213.0,2396.0,148.0,250.0,19116.0,1424.0,1270.0,140.0,101534.0,5926.0
Canada,20765.0,1327.0,509.0,82.0,5311.0,14945.0,518.0,550.0,13.0,370315.0,9812.0
Brazil,18145.0,1957.0,954.0,134.0,173.0,17018.0,296.0,85.0,4.0,62985.0,296.0
Portugal,13956.0,815.0,409.0,29.0,205.0,13342.0,241.0,1369.0,40.0,140368.0,13766.0
Austria,13244.0,302.0,295.0,22.0,5240.0,7709.0,266.0,1471.0,33.0,126287.0,14022.0
S. Korea,10423.0,39.0,204.0,4.0,6973.0,3246.0,55.0,203.0,4.0,477304.0,9310.0
Russia,10131.0,1459.0,76.0,13.0,698.0,9357.0,8.0,69.0,0.5,1004719.0,6885.0
Israel,9968.0,564.0,86.0,13.0,1011.0,8871.0,166.0,1152.0,10.0,117339.0,13557.0
Sweden,9141.0,722.0,793.0,106.0,205.0,8143.0,719.0,905.0,79.0,54700.0,5416.0
India,6725.0,809.0,227.0,49.0,635.0,5863.0,0.0,5.0,0.2,177584.0,129.0
Ireland,6574.0,500.0,263.0,28.0,25.0,6286.0,165.0,1331.0,53.0,53000.0,10734.0
Norway,6219.0,177.0,108.0,7.0,32.0,6079.0,78.0,1147.0,20.0,121034.0,22326.0
Australia,6152.0,100.0,51.0,1.0,2987.0,3114.0,81.0,241.0,2.0,330134.0,12946.0
Chile,5972.0,426.0,57.0,9.0,1274.0,4641.0,360.0,312.0,3.0,68353.0,3576.0
Denmark,5635.0,233.0,237.0,19.0,1736.0,3662.0,120.0,973.0,41.0,64002.0,11050.0
Poland,5575.0,370.0,174.0,15.0,284.0,5117.0,160.0,147.0,5.0,107597.0,2843.0
Czechia,5569.0,257.0,112.0,13.0,301.0,5156.0,96.0,520.0,10.0,106845.0,9977.0
Japan,5347.0,680.0,99.0,5.0,685.0,4563.0,109.0,42.0,0.8,61498.0,486.0
Peru,5256.0,914.0,138.0,17.0,1438.0,3680.0,124.0,159.0,4.0,48465.0,1470.0
Romania,5202.0,441.0,248.0,28.0,647.0,4307.0,178.0,270.0,13.0,51802.0,2693.0
Ecuador,4965.0,515.0,272.0,30.0,339.0,4354.0,139.0,281.0,15.0,19102.0,1083.0
Pakistan,4489.0,226.0,65.0,4.0,572.0,3852.0,31.0,20.0,0.3,44896.0,203.0
Malaysia,4228.0,109.0,67.0,2.0,1608.0,2553.0,72.0,131.0,2.0,63367.0,1958.0
Philippines,4076.0,206.0,203.0,21.0,124.0,3749.0,1.0,37.0,2.0,24500.0,224.0
Indonesia,3293.0,337.0,280.0,40.0,252.0,2761.0,0.0,12.0,1.0,14354.0,52.0
Saudi Arabia,3287.0,355.0,44.0,3.0,666.0,2577.0,41.0,94.0,1.0,115585.0,3320.0
Mexico,3181.0,396.0,174.0,33.0,633.0,2374.0,89.0,25.0,1.0,25410.0,197.0
Luxembourg,3115.0,81.0,52.0,6.0,500.0,2563.0,30.0,4976.0,83.0,27521.0,43965.0
