Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
 China ,80849.0,25.0,3199.0,10.0,66931.0,10719.0,3226.0,56.2
 Italy ,21157.0,0.0,1441.0,0.0,1966.0,17750.0,1518.0,349.9
 Iran ,13938.0,1209.0,724.0,113.0,4339.0,8875.0,0.0,165.9
 S. Korea ,8162.0,76.0,75.0,3.0,834.0,7253.0,59.0,159.2
 Spain ,7753.0,1362.0,291.0,95.0,517.0,6945.0,272.0,165.8
 Germany ,5381.0,782.0,10.0,1.0,46.0,5325.0,9.0,64.2
 France ,4499.0,30.0,91.0,0.0,12.0,4396.0,300.0,68.9
 USA ,3048.0,105.0,60.0,3.0,56.0,2932.0,10.0,9.2
 Switzerland ,2217.0,842.0,14.0,1.0,4.0,2199.0,0.0,256.2
 Norway ,1205.0,96.0,3.0,0.0,1.0,1201.0,27.0,222.3
 UK ,1140.0,0.0,21.0,0.0,18.0,1101.0,20.0,16.8
 Netherlands ,1135.0,176.0,20.0,8.0,2.0,1113.0,45.0,66.2
 Sweden ,1024.0,63.0,2.0,0.0,1.0,1021.0,2.0,101.4
 Belgium ,886.0,197.0,4.0,0.0,1.0,881.0,33.0,76.4
 Denmark ,864.0,28.0,2.0,1.0,1.0,861.0,2.0,149.2
 Japan ,814.0,10.0,24.0,2.0,144.0,646.0,35.0,6.4
 Austria ,800.0,145.0,1.0,0.0,6.0,793.0,1.0,88.8
 Diamond Princess ,696.0,0.0,7.0,0.0,456.0,233.0,15.0,0.0
 Malaysia ,428.0,190.0,0.0,0.0,42.0,386.0,9.0,13.2
 Qatar ,337.0,0.0,0.0,0.0,4.0,333.0,0.0,117.0
 Australia ,300.0,52.0,5.0,2.0,27.0,268.0,1.0,11.8
 Canada ,252.0,0.0,1.0,0.0,11.0,240.0,1.0,6.7
 Portugal ,245.0,76.0,0.0,0.0,2.0,243.0,9.0,24.0
 Finland ,244.0,19.0,0.0,0.0,10.0,234.0,0.0,44.0
 Czechia ,231.0,42.0,0.0,0.0,0.0,231.0,2.0,21.6
 Greece ,228.0,0.0,4.0,1.0,8.0,216.0,5.0,21.9
 Bahrain ,214.0,2.0,0.0,0.0,60.0,154.0,2.0,125.8
 Singapore ,212.0,0.0,0.0,0.0,105.0,107.0,11.0,36.2
 Israel ,200.0,7.0,0.0,0.0,4.0,196.0,2.0,23.1
 Slovenia ,181.0,0.0,1.0,0.0,0.0,180.0,3.0,87.1
 Iceland ,161.0,0.0,0.0,0.0,0.0,161.0,1.0,0.0
 Hong Kong ,145.0,3.0,4.0,0.0,81.0,60.0,4.0,19.3
 Philippines ,140.0,29.0,11.0,3.0,2.0,127.0,1.0,1.3
 Estonia ,135.0,20.0,0.0,0.0,1.0,134.0,0.0,101.8
 Romania ,131.0,8.0,0.0,0.0,9.0,122.0,1.0,6.8
 Ireland ,129.0,0.0,2.0,0.0,1.0,126.0,6.0,26.1
 Brazil ,121.0,0.0,0.0,0.0,1.0,120.0,2.0,0.6
